time,q0,q1,q2,q3,activity,name
1674934574356899300,-0.2909900531530496,0.1701690799850839,0.1675335186792565,0.4394933197726213,walking,michal
1674934574366899300,-0.2924107310648836,0.1708034831729836,0.1666571130265178,0.438636944403834,walking,michal
1674934574376899300,-0.2938152838611634,0.1713713288349214,0.1657944361780964,0.4378033415687141,walking,michal
1674934574386899300,-0.2952002368930159,0.1718541862524109,0.1649614241730832,0.4369967488577705,walking,michal
1674934574396899300,-0.2965265717637145,0.1721519996440933,0.1642138528173107,0.4362631696823851,walking,michal
1674934574406899300,-0.2977689907247153,0.1722223777942683,0.1635763405378061,0.4356293925168073,walking,michal
1674934574416899300,-0.2989180327121215,0.17216184737648,0.1629810238133428,0.4350909076419933,walking,michal
1674934574426899300,-0.299975070617275,0.1720638480243673,0.1623786255079173,0.4346292658403367,walking,michal
1674934574436899300,-0.300956373909938,0.1721003468396596,0.1617959120496873,0.4341554925544981,walking,michal
1674934574446899300,-0.3018473350085925,0.1722152282794974,0.161216424134702,0.4337088823078777,walking,michal
1674934574456899300,-0.3025665175137516,0.1720925960050542,0.1607071136329602,0.4334487619699945,walking,michal
1674934574466899300,-0.3031461842350543,0.1716888936479563,0.1602848067105918,0.4333651457253532,walking,michal
1674934574476899300,-0.3036398423626524,0.1710314922492666,0.1599283246599402,0.4334176623226143,walking,michal
1674934574486899300,-0.304059239075083,0.1700987926467735,0.1596663646573509,0.4335955876030709,walking,michal
1674934574496899300,-0.304404816883716,0.1688642279545767,0.1595285445339639,0.4338970034028531,walking,michal
1674934574506899300,-0.3046996132041257,0.1672886288019782,0.159567020115272,0.4342996410082724,walking,michal
1674934574516899300,-0.3050005564351267,0.165329147566768,0.1598379727051762,0.4347557868107504,walking,michal
1674934574526899300,-0.3053822949907988,0.162997541213492,0.1604002439642596,0.4351812129959984,walking,michal
1674934574536899300,-0.305946217584959,0.1602633502030935,0.1613075113959236,0.4354891635553745,walking,michal
1674934574546899300,-0.3067681349419838,0.1570144629074897,0.1623877835403986,0.4357215621348989,walking,michal
1674934574556899300,-0.3078752427394585,0.1530873404641359,0.1635941413477799,0.4359226636380783,walking,michal
1674934574566899300,-0.3090909872300577,0.1481540272857813,0.1652381810931973,0.4361978056690462,walking,michal
1674934574576899300,-0.3103431685465914,0.1421472365148537,0.1675094497052536,0.436512886052982,walking,michal
1674934574586899300,-0.3116396879222978,0.1351031182247748,0.1704996823703238,0.4367645642301584,walking,michal
