time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2,activity,name
1672726986256836400,-0.9903587698936462,-3.059498786926269,2.388936758041382,4.006040708009572,-0.9903587698936462,,,-3.059498786926269,,,2.388936758041382,,,walking,wiktor
1672726986266836400,-1.190712020488812,-3.104771618636327,2.681096280073968,4.271496129303251,-1.190712020488812,-0.9903587698936462,,-3.104771618636327,-3.059498786926269,,2.681096280073968,2.388936758041382,,walking,wiktor
1672726986276836400,-1.421913751024904,-2.499594738869997,2.8706778508751127,4.063324242223999,-1.421913751024904,-1.190712020488812,-0.9903587698936462,-2.499594738869997,-3.104771618636327,-3.059498786926269,2.8706778508751127,2.681096280073968,2.388936758041382,walking,wiktor
1672726986286836400,-1.6285621301158333,-1.636056763084763,2.913233026841307,3.7169642199464032,-1.6285621301158333,-1.421913751024904,-1.190712020488812,-1.636056763084763,-2.499594738869997,-3.104771618636327,2.913233026841307,2.8706778508751127,2.681096280073968,walking,wiktor
1672726986296836400,-1.7276277522756174,-1.1070572139982244,2.727261294980223,3.4129499698348367,-1.7276277522756174,-1.6285621301158333,-1.421913751024904,-1.1070572139982244,-1.636056763084763,-2.499594738869997,2.727261294980223,2.913233026841307,2.8706778508751127,walking,wiktor
1672726986306836400,-1.7275323343562476,-0.9513039981686676,2.1756283387810225,2.936444437016493,-1.7275323343562476,-1.7276277522756174,-1.6285621301158333,-0.9513039981686676,-1.1070572139982244,-1.636056763084763,2.1756283387810225,2.727261294980223,2.913233026841307,walking,wiktor
1672726986316836400,-1.534873365300672,-1.2120941724604553,0.9768979879109396,2.186169757636961,-1.534873365300672,-1.7275323343562476,-1.7276277522756174,-1.2120941724604553,-0.9513039981686676,-1.1070572139982244,0.9768979879109396,2.1756283387810225,2.727261294980223,walking,wiktor
1672726986326836400,-1.3570889209796424,-0.8476695447104501,0.0073578126123529,1.6000900393045856,-1.3570889209796424,-1.534873365300672,-1.7275323343562476,-0.8476695447104501,-1.2120941724604553,-0.9513039981686676,0.0073578126123529,0.9768979879109396,2.1756283387810225,walking,wiktor
1672726986336836400,-1.137952158965089,-0.519929167779741,-0.8085410862549046,1.489630875003503,-1.137952158965089,-1.3570889209796424,-1.534873365300672,-0.519929167779741,-0.8476695447104501,-1.2120941724604553,-0.8085410862549046,0.0073578126123529,0.9768979879109396,walking,wiktor
1672726986346836400,-0.7900313577252762,-0.3764141489053564,-1.5053342778794745,1.7412261328857623,-0.7900313577252762,-1.137952158965089,-1.3570889209796424,-0.3764141489053564,-0.519929167779741,-0.8476695447104501,-1.5053342778794745,-0.8085410862549046,0.0073578126123529,walking,wiktor
1672726986356836400,-0.3364115368547576,-0.268606014567391,-1.9864541658219883,2.0325653903631955,-0.3364115368547576,-0.7900313577252762,-1.137952158965089,-0.268606014567391,-0.3764141489053564,-0.519929167779741,-1.9864541658219883,-1.5053342778794745,-0.8085410862549046,walking,wiktor
1672726986366836400,0.1393908398917156,-0.3984625956746069,-2.262681306212868,2.3017230371794586,0.1393908398917156,-0.3364115368547576,-0.7900313577252762,-0.3984625956746069,-0.268606014567391,-0.3764141489053564,-2.262681306212868,-1.9864541658219883,-1.5053342778794745,walking,wiktor
1672726986376836400,0.5522967165184364,-0.614503842970853,-2.353540083692383,2.494353134912886,0.5522967165184364,0.1393908398917156,-0.3364115368547576,-0.614503842970853,-0.3984625956746069,-0.268606014567391,-2.353540083692383,-2.262681306212868,-1.9864541658219883,walking,wiktor
1672726986386836400,0.8562105152568246,-0.83972278950475,-2.282621012832841,2.578485892510568,0.8562105152568246,0.5522967165184364,0.1393908398917156,-0.83972278950475,-0.614503842970853,-0.3984625956746069,-2.282621012832841,-2.353540083692383,-2.262681306212868,walking,wiktor
1672726986396836400,1.0968935879775232,-0.988199747602925,-2.0183014886490978,2.5006509519706768,1.0968935879775232,0.8562105152568246,0.5522967165184364,-0.988199747602925,-0.83972278950475,-0.614503842970853,-2.0183014886490978,-2.282621012832841,-2.353540083692383,walking,wiktor
1672726986406836400,1.261228166020316,-1.0339119861912218,-1.5692554334918292,2.263235095498582,1.261228166020316,1.0968935879775232,0.8562105152568246,-1.0339119861912218,-0.988199747602925,-0.83972278950475,-1.5692554334918292,-2.0183014886490978,-2.282621012832841,walking,wiktor
1672726986416836400,1.3434279965943716,-1.03210569558535,-0.9655976638175978,1.9499794350872752,1.3434279965943716,1.261228166020316,1.0968935879775232,-1.03210569558535,-1.0339119861912218,-0.988199747602925,-0.9655976638175978,-1.5692554334918292,-2.0183014886490978,walking,wiktor
1672726986426836400,1.2793360879203632,-1.0118351537745855,-0.3672779696339895,1.671946264461835,1.2793360879203632,1.3434279965943716,1.261228166020316,-1.0118351537745855,-1.03210569558535,-1.0339119861912218,-0.3672779696339895,-0.9655976638175978,-1.5692554334918292,walking,wiktor
1672726986436836400,1.01162669721156,-1.2554206440765214,0.0968178220340301,1.6151914000353302,1.01162669721156,1.2793360879203632,1.3434279965943716,-1.2554206440765214,-1.0118351537745855,-1.03210569558535,0.0968178220340301,-0.3672779696339895,-0.9655976638175978,walking,wiktor
1672726986446836400,0.6791587664868418,-1.6039265821028748,0.5441235364707787,1.824803423334581,0.6791587664868418,1.01162669721156,1.2793360879203632,-1.6039265821028748,-1.2554206440765214,-1.0118351537745855,0.5441235364707787,0.0968178220340301,-0.3672779696339895,walking,wiktor
1672726986456836400,0.3520083874025431,-1.6734349743131336,0.9016704312124914,1.933210822589988,0.3520083874025431,0.6791587664868418,1.01162669721156,-1.6734349743131336,-1.6039265821028748,-1.2554206440765214,0.9016704312124914,0.5441235364707787,0.0968178220340301,walking,wiktor
1672726986466836400,0.0915214431454953,-1.5427101559731484,1.1346932671553376,1.917253141978332,0.0915214431454953,0.3520083874025431,0.6791587664868418,-1.5427101559731484,-1.6734349743131336,-1.6039265821028748,1.1346932671553376,0.9016704312124914,0.5441235364707787,walking,wiktor
1672726986476836400,-0.1149947061003816,-1.4508842215523925,1.230971482435624,1.906195057529676,-0.1149947061003816,0.0915214431454953,0.3520083874025431,-1.4508842215523925,-1.5427101559731484,-1.6734349743131336,1.230971482435624,1.1346932671553376,0.9016704312124914,walking,wiktor
1672726986486836400,-0.2694819852856366,-1.5250333182517677,1.1772793533370165,1.945336433104852,-0.2694819852856366,-0.1149947061003816,0.0915214431454953,-1.5250333182517677,-1.4508842215523925,-1.5427101559731484,1.1772793533370165,1.230971482435624,1.1346932671553376,walking,wiktor
1672726986496836400,-0.3861699906650034,-1.7042325406552377,1.0240494873874726,2.025392102022954,-0.3861699906650034,-0.2694819852856366,-0.1149947061003816,-1.7042325406552377,-1.5250333182517677,-1.4508842215523925,1.0240494873874726,1.1772793533370165,1.230971482435624,walking,wiktor
1672726986506836400,-0.487835508071726,-1.7824912395873491,0.8463992639785761,2.032646111895703,-0.487835508071726,-0.3861699906650034,-0.2694819852856366,-1.7824912395873491,-1.7042325406552377,-1.5250333182517677,0.8463992639785761,1.0240494873874726,1.1772793533370165,walking,wiktor
1672726986516836400,-0.650690972441985,-1.8389061628028915,0.6157309190087088,2.0455070720570143,-0.650690972441985,-0.487835508071726,-0.3861699906650034,-1.8389061628028915,-1.7824912395873491,-1.7042325406552377,0.6157309190087088,0.8463992639785761,1.0240494873874726,walking,wiktor
1672726986526836400,-0.9087839440380518,-2.035513389629459,0.201782356249624,2.23828486471133,-0.9087839440380518,-0.650690972441985,-0.487835508071726,-2.035513389629459,-1.8389061628028915,-1.7824912395873491,0.201782356249624,0.6157309190087088,0.8463992639785761,walking,wiktor
1672726986536836400,-1.0133543992723566,-1.3227419771372482,-0.4859799348415559,1.7357159830093742,-1.0133543992723566,-0.9087839440380518,-0.650690972441985,-1.3227419771372482,-2.035513389629459,-1.8389061628028915,-0.4859799348415559,0.201782356249624,0.6157309190087088,walking,wiktor
1672726986546836400,-0.8497470811365755,-0.8964435962672952,-0.9803939158017406,1.5769760471642686,-0.8497470811365755,-1.0133543992723566,-0.9087839440380518,-0.8964435962672952,-1.3227419771372482,-2.035513389629459,-0.9803939158017406,-0.4859799348415559,0.201782356249624,walking,wiktor
1672726986556836400,-0.3561947404666905,-0.4413774110909977,-1.296103525607258,1.4147696141948656,-0.3561947404666905,-0.8497470811365755,-1.0133543992723566,-0.4413774110909977,-0.8964435962672952,-1.3227419771372482,-1.296103525607258,-0.9803939158017406,-0.4859799348415559,walking,wiktor
1672726986566836400,0.2852769952024211,-0.4080538179601322,-1.4666026477709515,1.548810578732057,0.2852769952024211,-0.3561947404666905,-0.8497470811365755,-0.4080538179601322,-0.4413774110909977,-0.8964435962672952,-1.4666026477709515,-1.296103525607258,-0.9803939158017406,walking,wiktor
1672726986576836400,1.00914858174806,-0.948159633618046,-1.494503153500944,2.0373824448765365,1.00914858174806,0.2852769952024211,-0.3561947404666905,-0.948159633618046,-0.4080538179601322,-0.4413774110909977,-1.494503153500944,-1.4666026477709515,-1.296103525607258,walking,wiktor
1672726986586836400,1.778182304090431,-1.4305200639083029,-1.3102038851981286,2.6315307675596045,1.778182304090431,1.00914858174806,0.2852769952024211,-1.4305200639083029,-0.948159633618046,-0.4080538179601322,-1.3102038851981286,-1.494503153500944,-1.4666026477709515,walking,wiktor
1672726986596836400,2.328835490747167,-1.8155058282878969,-0.8215180114808223,3.0650331154325765,2.328835490747167,1.778182304090431,1.00914858174806,-1.8155058282878969,-1.4305200639083029,-0.948159633618046,-0.8215180114808223,-1.3102038851981286,-1.494503153500944,walking,wiktor
1672726986606836400,2.530045018292608,-2.158071461204727,-0.0401044094383299,3.3256591211232016,2.530045018292608,2.328835490747167,1.778182304090431,-2.158071461204727,-1.8155058282878969,-1.4305200639083029,-0.0401044094383299,-0.8215180114808223,-1.3102038851981286,walking,wiktor
1672726986616836400,2.3681276289624456,-2.556287178655157,1.0066938136113834,3.627129035638995,2.3681276289624456,2.530045018292608,2.328835490747167,-2.556287178655157,-2.158071461204727,-1.8155058282878969,1.0066938136113834,-0.0401044094383299,-0.8215180114808223,walking,wiktor
1672726986626836400,1.9929945484920093,-3.6572913887088494,1.977219597882282,4.610553644682225,1.9929945484920093,2.3681276289624456,2.530045018292608,-3.6572913887088494,-2.556287178655157,-2.158071461204727,1.977219597882282,1.0066938136113834,-0.0401044094383299,walking,wiktor
1672726986636836400,1.5777481365308603,-4.618952373598256,2.75948007860285,5.607025995668431,1.5777481365308603,1.9929945484920093,2.3681276289624456,-4.618952373598256,-3.6572913887088494,-2.556287178655157,2.75948007860285,1.977219597882282,1.0066938136113834,walking,wiktor
1672726986646836400,1.3225203518445348,-5.159456080562583,3.214064821328601,6.220872913345783,1.3225203518445348,1.5777481365308603,1.9929945484920093,-5.159456080562583,-4.618952373598256,-3.6572913887088494,3.214064821328601,2.75948007860285,1.977219597882282,walking,wiktor
1672726986656836400,1.2832531433823666,-5.334212695923373,3.37998517896666,6.443978858235424,1.2832531433823666,1.3225203518445348,1.5777481365308603,-5.334212695923373,-5.159456080562583,-4.618952373598256,3.37998517896666,3.214064821328601,2.75948007860285,walking,wiktor
1672726986666836400,1.3574329957125224,-5.195577013460622,3.274992152263194,6.289850430497929,1.3574329957125224,1.2832531433823666,1.3225203518445348,-5.195577013460622,-5.334212695923373,-5.159456080562583,3.274992152263194,3.37998517896666,3.214064821328601,walking,wiktor
1672726986676836400,1.5587526513830812,-4.84907991620029,2.9214730559634816,5.871821751263521,1.5587526513830812,1.3574329957125224,1.2832531433823666,-4.84907991620029,-5.195577013460622,-5.334212695923373,2.9214730559634816,3.274992152263194,3.37998517896666,walking,wiktor
1672726986686836400,1.927062452569542,-4.549444767965471,2.414429598334208,5.499135175478416,1.927062452569542,1.5587526513830812,1.3574329957125224,-4.549444767965471,-4.84907991620029,-5.195577013460622,2.414429598334208,2.9214730559634816,3.274992152263194,walking,wiktor
1672726986696836400,2.4133355279889743,-4.456385071025694,1.851474235083249,5.395508605784222,2.4133355279889743,1.927062452569542,1.5587526513830812,-4.456385071025694,-4.549444767965471,-4.84907991620029,1.851474235083249,2.414429598334208,2.9214730559634816,walking,wiktor
1672726986706836400,2.872888453922818,-4.632867213735728,1.411507271824861,5.631101088348969,2.872888453922818,2.4133355279889743,1.927062452569542,-4.632867213735728,-4.456385071025694,-4.549444767965471,1.411507271824861,1.851474235083249,2.414429598334208,walking,wiktor
1672726986716836400,3.1558276347116165,-4.901265396309772,1.2293082293683566,5.9575875375747405,3.1558276347116165,2.872888453922818,2.4133355279889743,-4.901265396309772,-4.632867213735728,-4.456385071025694,1.2293082293683566,1.411507271824861,1.851474235083249,walking,wiktor
1672726986726836400,3.4531997146193105,-5.080428733613225,1.1942914492286438,6.257929086532574,3.4531997146193105,3.1558276347116165,2.872888453922818,-5.080428733613225,-4.901265396309772,-4.632867213735728,1.1942914492286438,1.2293082293683566,1.411507271824861,walking,wiktor
1672726986736836400,3.5969415595504177,-4.938850097464568,1.1234107383017171,6.212268551421322,3.5969415595504177,3.4531997146193105,3.1558276347116165,-4.938850097464568,-5.080428733613225,-4.901265396309772,1.1234107383017171,1.1942914492286438,1.2293082293683566,walking,wiktor
1672726986746836400,3.6496940950315735,-4.782403939366075,0.9770701487908716,6.0947781339627705,3.6496940950315735,3.5969415595504177,3.4531997146193105,-4.782403939366075,-4.938850097464568,-5.080428733613225,0.9770701487908716,1.1234107383017171,1.1942914492286438,walking,wiktor
1672726986756836400,3.61370941318173,-4.301099414681879,0.791088297840371,5.673109605223138,3.61370941318173,3.6496940950315735,3.5969415595504177,-4.301099414681879,-4.782403939366075,-4.938850097464568,0.791088297840371,0.9770701487908716,1.1234107383017171,walking,wiktor
1672726986766836400,3.524671832636165,-3.691064729105877,0.6512861291249709,5.145040717450038,3.524671832636165,3.61370941318173,3.6496940950315735,-3.691064729105877,-4.301099414681879,-4.782403939366075,0.6512861291249709,0.791088297840371,0.9770701487908716,walking,wiktor
1672726986776836400,3.479768841355685,-3.067824191394188,0.5983038843612074,4.677424932226599,3.479768841355685,3.524671832636165,3.61370941318173,-3.067824191394188,-3.691064729105877,-4.301099414681879,0.5983038843612074,0.6512861291249709,0.791088297840371,walking,wiktor
1672726986786836400,3.4571021859488766,-2.510893101763485,0.6131972481343442,4.316497487280108,3.4571021859488766,3.479768841355685,3.524671832636165,-2.510893101763485,-3.067824191394188,-3.691064729105877,0.6131972481343442,0.5983038843612074,0.6512861291249709,walking,wiktor
1672726986796836400,3.361018249083452,-2.027925464471969,0.6413412187131521,3.977467022986653,3.361018249083452,3.4571021859488766,3.479768841355685,-2.027925464471969,-2.510893101763485,-3.067824191394188,0.6413412187131521,0.6131972481343442,0.5983038843612074,walking,wiktor
1672726986806836400,3.175246853196424,-1.6643309815992098,0.5768584406710001,3.6311094524426215,3.175246853196424,3.361018249083452,3.4571021859488766,-1.6643309815992098,-2.027925464471969,-2.510893101763485,0.5768584406710001,0.6413412187131521,0.6131972481343442,walking,wiktor
1672726986816836400,3.013292476090537,-1.3107533657688748,0.3807156290336451,3.3080130475148914,3.013292476090537,3.175246853196424,3.361018249083452,-1.3107533657688748,-1.6643309815992098,-2.027925464471969,0.3807156290336451,0.5768584406710001,0.6413412187131521,walking,wiktor
1672726986826836400,2.9686240725542405,-1.0121495152519084,0.0961400544946613,3.1379003227399425,2.9686240725542405,3.013292476090537,3.175246853196424,-1.0121495152519084,-1.3107533657688748,-1.6643309815992098,0.0961400544946613,0.3807156290336451,0.5768584406710001,walking,wiktor
1672726986836836400,3.0571178750488515,-0.7243528870045881,-0.19187802882116,3.147614014583011,3.0571178750488515,2.9686240725542405,3.013292476090537,-0.7243528870045881,-1.0121495152519084,-1.3107533657688748,-0.19187802882116,0.0961400544946613,0.3807156290336451,walking,wiktor
1672726986846836400,3.2408577449434484,-0.4549030684838186,-0.4608593415803467,3.3049186158508954,3.2408577449434484,3.0571178750488515,2.9686240725542405,-0.4549030684838186,-0.7243528870045881,-1.0121495152519084,-0.4608593415803467,-0.19187802882116,0.0961400544946613,walking,wiktor
1672726986856836400,3.4605617407770413,-0.2056002515645686,-0.7169838205484006,3.5400317546741613,3.4605617407770413,3.2408577449434484,3.0571178750488515,-0.2056002515645686,-0.4549030684838186,-0.7243528870045881,-0.7169838205484006,-0.4608593415803467,-0.19187802882116,walking,wiktor
1672726986866836400,3.6095297184370656,0.061506974341953,-0.9179166816499764,3.724924016758512,3.6095297184370656,3.4605617407770413,3.2408577449434484,0.061506974341953,-0.2056002515645686,-0.4549030684838186,-0.9179166816499764,-0.7169838205484006,-0.4608593415803467,walking,wiktor
