time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2,jerkMag,jerkX,jerkY,jerkZ,activity,name
1674933955955273500,-0.7632320228792899,-0.1678719981304215,-0.1678719981304215,0.7993029064509984,-0.7632320228792899,,,-0.1678719981304215,,,-0.1678719981304215,,,8.541414165722519e-06,3.860723941290693e-07,4.077670885796724e-06,4.077670885796724e-06,upstairs,michal
1674933955965273500,-0.762353305183862,-0.170727754032384,-0.170727754032384,0.7996739922735034,-0.762353305183862,-0.7632320228792899,,-0.170727754032384,-0.1678719981304215,,-0.170727754032384,-0.1678719981304215,,2.0940077507558787e-08,2.778617603644952e-09,9.08072995195692e-09,9.08072995195692e-09,upstairs,michal
1674933955975273500,-0.7624278520497069,-0.1708625184932181,-0.1708625184932181,0.7998026194210796,-0.7624278520497069,-0.762353305183862,-0.7632320228792899,-0.1708625184932181,-0.170727754032384,-0.1678719981304215,-0.1708625184932181,-0.170727754032384,-0.1678719981304215,0.0001136383614869,3.962878265950914e-05,3.7004789413727936e-05,3.7004789413727936e-05,upstairs,michal
1674933955985273500,-0.7713305238575979,-0.1622596364861546,-0.1622596364861546,0.8047404279018636,-0.7713305238575979,-0.7624278520497069,-0.762353305183862,-0.1622596364861546,-0.1708625184932181,-0.170727754032384,-0.1622596364861546,-0.1708625184932181,-0.170727754032384,0.0001659446160708,8.888350910832422e-05,3.8530553481239246e-05,3.8530553481239246e-05,upstairs,michal
1674933955995273500,-0.7846634537012838,-0.1534811908969584,-0.1534811908969584,0.8141312470927055,-0.7846634537012838,-0.7713305238575979,-0.7624278520497069,-0.1534811908969584,-0.1622596364861546,-0.1708625184932181,-0.1534811908969584,-0.1622596364861546,-0.1708625184932181,0.0001943120490598,0.0001631195795591,1.5596234750375915e-05,1.5596234750375915e-05,upstairs,michal
1674933956005273500,-0.8027255454715702,-0.1478961690079457,-0.1478961690079457,0.8295268862231553,-0.8027255454715702,-0.7846634537012838,-0.7713305238575979,-0.1478961690079457,-0.1534811908969584,-0.1622596364861546,-0.1478961690079457,-0.1534811908969584,-0.1622596364861546,1.882629365172655e-05,1.10075559068151e-05,3.909368872455726e-06,3.909368872455726e-06,upstairs,michal
1674933956015273500,-0.807417571879598,-0.1450999684169809,-0.1450999684169809,0.8330853119874119,-0.807417571879598,-0.8027255454715702,-0.7846634537012838,-0.1450999684169809,-0.1478961690079457,-0.1534811908969584,-0.1450999684169809,-0.1478961690079457,-0.1534811908969584,3.95391743676841e-06,1.8966438215766245e-06,1.0286368075958928e-06,1.0286368075958928e-06,upstairs,michal
1674933956025273500,-0.8054699354548119,-0.143665648503157,-0.143665648503157,0.8306993764541082,-0.8054699354548119,-0.807417571879598,-0.8027255454715702,-0.143665648503157,-0.1450999684169809,-0.1478961690079457,-0.143665648503157,-0.1450999684169809,-0.1478961690079457,6.491723073328076e-06,6.454222985433765e-06,1.8750043947155097e-08,1.8750043947155097e-08,upstairs,michal
1674933956035273500,-0.801877102871617,-0.1434719991089047,-0.1434719991089047,0.8271489087016852,-0.801877102871617,-0.8054699354548119,-0.807417571879598,-0.1434719991089047,-0.143665648503157,-0.1450999684169809,-0.1434719991089047,-0.143665648503157,-0.1450999684169809,2.1710298654740824e-05,2.1710298654740824e-05,0.0,0.0,upstairs,michal
1674933956045273500,-0.7952876721443476,-0.1434719991089047,-0.1434719991089047,0.8207623958987073,-0.7952876721443476,-0.801877102871617,-0.8054699354548119,-0.1434719991089047,-0.1434719991089047,-0.143665648503157,-0.1434719991089047,-0.1434719991089047,-0.143665648503157,2.5310205921861133e-05,2.418109780972909e-05,5.645540560660194e-07,5.645540560660194e-07,upstairs,michal
