time,q0,q1,q2,q3,activity,name
1674934115437079600,0.5365834653805902,-0.3113406707667471,-0.0708330662230091,-0.3784938038783081,downstairs,michal
1674934115447079600,0.5375836952826181,-0.3117135898280246,-0.0701191034145637,-0.3768972038930732,downstairs,michal
1674934115457079600,0.5385756097880419,-0.3120245641727081,-0.0694916295045346,-0.3753368232213183,downstairs,michal
1674934115467079600,0.5395498077643825,-0.3122609169480563,-0.0689833449274006,-0.3738319378838089,downstairs,michal
1674934115477079600,0.5404951366147823,-0.3124321400075717,-0.0686082333895022,-0.3723896976943344,downstairs,michal
1674934115487079600,0.5414028736140416,-0.3126204439968869,-0.0683236342044747,-0.3709628648432311,downstairs,michal
1674934115497079600,0.542265991333018,-0.3128710383130406,-0.0681107130756571,-0.3695275888813277,downstairs,michal
1674934115507079600,0.5431005817427369,-0.3132323342968908,-0.0678628116318065,-0.3680387340874859,downstairs,michal
1674934115517079600,0.5439201494723308,-0.3137145808920007,-0.0674942260031284,-0.3664823883537808,downstairs,michal
1674934115527079600,0.544732301518784,-0.3142853148520795,-0.0668088326829478,-0.3649094986855352,downstairs,michal
1674934115537079600,0.5455469446888624,-0.3149201389287553,-0.0657402608773821,-0.3633363179923354,downstairs,michal
1674934115547079600,0.5464057138426089,-0.3155713736801726,-0.0642214349044661,-0.361750240067156,downstairs,michal
1674934115557079600,0.5473327532659564,-0.3161790345830322,-0.0624667013149711,-0.3601236955713674,downstairs,michal
1674934115567079600,0.5483408055149973,-0.3167364021750455,-0.0606038962187382,-0.3584169433243971,downstairs,michal
1674934115577079600,0.5494061594741527,-0.3172193430511406,-0.0587113211669693,-0.3566715170582277,downstairs,michal
1674934115587079600,0.5505007018647947,-0.3176247429147429,-0.0568372228656935,-0.3549247047966984,downstairs,michal
1674934115597079600,0.551611809225735,-0.3179933425217518,-0.0550369845327164,-0.3531510299190614,downstairs,michal
1674934115607079600,0.5527516480749102,-0.318336357705845,-0.0533469284487194,-0.3513162600099033,downstairs,michal
1674934115617079600,0.5539055288251004,-0.3186619410595001,-0.0517891925575122,-0.3494334243374192,downstairs,michal
1674934115627079600,0.5550641098565252,-0.3189950231627463,-0.050363613414432,-0.3474955423392827,downstairs,michal
1674934115637079600,0.5561912990622669,-0.3193799543155443,-0.0490671844277684,-0.3455208449783335,downstairs,michal
1674934115647079600,0.5572629708663975,-0.3198506880777685,-0.0478809902248841,-0.3435205398888692,downstairs,michal
1674934115657079600,0.5582673390830245,-0.3204271867931105,-0.04678550721997,-0.3414987908274673,downstairs,michal
1674934115667079600,0.5592453875857296,-0.3210323114401106,-0.0457203862850972,-0.3394697104034029,downstairs,michal
1674934115677079600,0.560165433160719,-0.3215710220950485,-0.0447077059741389,-0.3375733526506186,downstairs,michal
1674934115687079600,0.5610129928038052,-0.3220503225414862,-0.0437557296756133,-0.3358297382897601,downstairs,michal
1674934115697079600,0.5618074069846216,-0.3224918833473722,-0.0428355170508099,-0.3341930094149279,downstairs,michal
1674934115707079600,0.5625864400904094,-0.3229040948362396,-0.0419624141628227,-0.3325916768004802,downstairs,michal
1674934115717079600,0.5633713554073562,-0.3232865994549139,-0.0411389302152198,-0.3309907361642659,downstairs,michal
1674934115727079600,0.5641487548766769,-0.3236415512608518,-0.0404005386989852,-0.329407093056862,downstairs,michal
1674934115737079600,0.564893495638923,-0.3239981830278796,-0.0397818584706954,-0.3278519668485347,downstairs,michal
1674934115747079600,0.5655971793348693,-0.3243483205331354,-0.0392297035025836,-0.326355748420531,downstairs,michal
1674934115757079600,0.5662569697819103,-0.3246870985044326,-0.0386960784901323,-0.324935412801782,downstairs,michal
1674934115767079600,0.5669238577248845,-0.3249910831997177,-0.0381049382936886,-0.323535532932892,downstairs,michal
1674934115777079600,0.5676232897116739,-0.3252454441286884,-0.0374450233238561,-0.3221275790599842,downstairs,michal
1674934115787079600,0.5683359905985753,-0.3254807586675745,-0.0367672547355859,-0.3207082282252576,downstairs,michal
1674934115797079600,0.5690586258125877,-0.3257148015079458,-0.036083860176557,-0.3192635954401369,downstairs,michal
1674934115807079600,0.5697661880483563,-0.325977957650864,-0.0354683825219231,-0.3177987020935319,downstairs,michal
1674934115817079600,0.570462100780356,-0.326273067934099,-0.0349309848206195,-0.3163034877462568,downstairs,michal
1674934115827079600,0.5711396008959705,-0.3265960390463859,-0.0344848411414911,-0.3147930116132677,downstairs,michal
1674934115837079600,0.5718048100414751,-0.326893990567429,-0.0341087409148439,-0.3133137694859471,downstairs,michal
1674934115847079600,0.5724466863769111,-0.3271386361124507,-0.0338065212063437,-0.3119161479610042,downstairs,michal
1674934115857079600,0.5730648001019002,-0.3273332463275111,-0.0335905662926658,-0.3105978063356364,downstairs,michal
1674934115867079600,0.5736540752893906,-0.3274914296998691,-0.0334718668430888,-0.3093540523256184,downstairs,michal
1674934115877079600,0.5742266685870133,-0.3276336289018968,-0.0334360403149961,-0.3081432797704849,downstairs,michal
1674934115887079600,0.5748039343266629,-0.3277704074172242,-0.0334628760189957,-0.3069169395432725,downstairs,michal
1674934115897079600,0.5753940809911436,-0.3278906795709378,-0.0335275125932553,-0.3056739304269906,downstairs,michal
1674934115907079600,0.575999016144533,-0.3279982999919765,-0.033604221229979,-0.3044090006826885,downstairs,michal
1674934115917079600,0.576617406205348,-0.3281220594286543,-0.0336122082173571,-0.303101927407098,downstairs,michal
1674934115927079600,0.5772542106009856,-0.328276064493026,-0.0335043021622115,-0.3017323982448656,downstairs,michal
1674934115937079600,0.5778910910221137,-0.3284516842378058,-0.0332326347591102,-0.3003492840330323,downstairs,michal
1674934115947079600,0.5785197476520051,-0.3286300152635641,-0.0328129019003674,-0.2989871421685739,downstairs,michal
1674934115957079600,0.5791299969345355,-0.32879473847223,-0.0322672612664611,-0.2976812170440042,downstairs,michal
1674934115967079600,0.5797341073190067,-0.3289504321204021,-0.0316981958930688,-0.296391723600479,downstairs,michal
1674934115977079600,0.580342610432728,-0.3291013779914934,-0.031160420560675,-0.2950875465217754,downstairs,michal
1674934115987079600,0.5809666012536684,-0.3292540687967595,-0.0306500176480757,-0.2937398233891738,downstairs,michal
1674934115997079600,0.5816203742398662,-0.3294124064319659,-0.0301795381357043,-0.2923138637832635,downstairs,michal
1674934116007079600,0.5822893485610775,-0.3295588320945172,-0.0297500968725645,-0.2908574969478852,downstairs,michal
1674934116017079600,0.5829729074138403,-0.3296874587608841,-0.0293619621836076,-0.2893782922384046,downstairs,michal
1674934116027079600,0.5837094701868227,-0.3298151383809568,-0.0290202366211604,-0.2877782863697377,downstairs,michal
1674934116037079600,0.5844926842505586,-0.3299668664484901,-0.0287025383576682,-0.2860416484833254,downstairs,michal
1674934116047079600,0.5852547280562496,-0.3301674263366856,-0.0282635189829858,-0.2842906249352718,downstairs,michal
1674934116057079600,0.5859781066075374,-0.330402663658415,-0.027719749210653,-0.2825756917430256,downstairs,michal
1674934116067079600,0.5866704132295179,-0.3306356924168105,-0.0271664543218462,-0.280915561604724,downstairs,michal
1674934116077079600,0.5873432988835054,-0.3308626849845093,-0.026605148064162,-0.2792912971713478,downstairs,michal
1674934116087079600,0.5880224073988501,-0.3310817667833584,-0.0259787705087371,-0.2776569086580092,downstairs,michal
