time,q0,q1,q2,q3,activity,name
1673359080234034000,0.1916154210219597,0.0346432200079202,0.0954232526249296,0.4005633423881773,standing,wiktor
1673359080244034000,0.1963232602915058,0.0376325758635208,0.1002887217450295,0.3968551505045611,standing,wiktor
1673359080254034000,0.2019414245746327,0.0386334083191815,0.1041546766023292,0.3929511345235415,standing,wiktor
1673359080264034000,0.1978812310611964,0.04083526394077,0.1059455137894374,0.3943286921504092,standing,wiktor
1673359080274034000,0.2042636321822263,0.0386375709414581,0.1073710224165574,0.3909072334713211,standing,wiktor
1673359080284034000,0.2018590127954584,0.0383324676823793,0.1070991453812393,0.392264352543871,standing,wiktor
1673359080294034000,0.1983707878472517,0.0381810615247058,0.1060516551434892,0.3943400734587058,standing,wiktor
1673359080304034000,0.1947523697685531,0.0378695383461605,0.1043699719380151,0.3966200821986527,standing,wiktor
1673359080314034000,0.1991913301929921,0.0352314952547332,0.1029297630093501,0.3950395351943423,standing,wiktor
1673359080324034000,0.1955277490139906,0.0347576433274267,0.1005186116357206,0.3975334964702569,standing,wiktor
1673359080334034000,0.199306197492164,0.0328104219212121,0.0992398234829436,0.3961464374645262,standing,wiktor
1673359080344034000,0.192282778864079,0.0346711315131877,0.0983976059882091,0.3996552992193962,standing,wiktor
1673359080354034000,0.1952309520689483,0.0356178584713904,0.1001515730731971,0.3977115167066445,standing,wiktor
1673359080364034000,0.1983102234706804,0.0381912527323838,0.1033457290692555,0.3951520117932024,standing,wiktor
1673359080374034000,0.1933698880361141,0.0443226273905789,0.1067618398332637,0.3961042187303112,standing,wiktor
1673359080384034000,0.1879882137758145,0.0517997597728844,0.1109808375655029,0.3967115416999671,standing,wiktor
1673359080394034000,0.1899236855119301,0.0565783501404035,0.1162940882160881,0.3936842754625252,standing,wiktor
1673359080404034000,0.1912675710023107,0.0595794552095318,0.1207729805141345,0.3912866233098757,standing,wiktor
1673359080414034000,0.1847402680714398,0.0633256872976533,0.1228911567452398,0.3931966821039528,standing,wiktor
1673359080424034000,0.1866240718501924,0.062999537249125,0.1252962218722875,0.391607740499004,standing,wiktor
1673359080434034000,0.1789429461245384,0.0644340183046336,0.1252392507725279,0.3949678636323848,standing,wiktor
1673359080444034000,0.1817635311189642,0.0614764720726536,0.1261576307117343,0.3938632572951857,standing,wiktor
1673359080454034000,0.1745971635867007,0.0613097313357022,0.1250365702887771,0.3974797038772682,standing,wiktor
1673359080464034000,0.1776820645969257,0.0581763199897171,0.1254285545686415,0.3964648280505181,standing,wiktor
1673359080474034000,0.1705176328638169,0.0592765862895043,0.1248240893560878,0.3996283724081054,standing,wiktor
1673359080484034000,0.1735886733034581,0.0587117153956868,0.1267773213381778,0.3977744015777977,standing,wiktor
1673359080494034000,0.178693909523132,0.0593358513090236,0.1302928721658737,0.3942892435359221,standing,wiktor
1673359080504034000,0.1732988482626869,0.0654340061432775,0.133569718525374,0.3946894142280886,standing,wiktor
1673359080514034000,0.1676654827752766,0.0735341334185612,0.137865807132223,0.3943180008478918,standing,wiktor
1673359080524034000,0.1620327219482543,0.083324253729442,0.1427629364715567,0.393125740672422,standing,wiktor
1673359080534034000,0.164521923494948,0.0914609940764078,0.1497698640150635,0.3878260601486328,standing,wiktor
1673359080544034000,0.1595095633880184,0.1034774312442622,0.1551263895058185,0.3850058883087469,standing,wiktor
1673359080554034000,0.154846529902237,0.116303082840291,0.1602606166526862,0.3813807168273074,standing,wiktor
1673359080564034000,0.153885891142627,0.1281745223570427,0.1661838793853862,0.3756611040120051,standing,wiktor
1673359080574034000,0.1520137166272912,0.1405780039955,0.1714193321047276,0.3698721460710483,standing,wiktor
1673359080584034000,0.1509730058448689,0.1522982327657936,0.1761334285698946,0.3636575358152917,standing,wiktor
1673359080594034000,0.1503989881324597,0.1632691125287866,0.1800480179610979,0.3574046700524753,standing,wiktor
1673359080604034000,0.1496035181659004,0.1739668123502306,0.183089480084191,0.3513179107605259,standing,wiktor
1673359080614034000,0.148396542672251,0.1847130660157215,0.1854307170998096,0.3452842599991379,standing,wiktor
1673359080624034000,0.146972499034833,0.1956527665842857,0.1871733551760701,0.3390983971886964,standing,wiktor
1673359080634034000,0.145582509605234,0.2069111021443735,0.188321950727836,0.3325588359617512,standing,wiktor
1673359080644034000,0.1445019631293151,0.2182966379242814,0.1888238035179107,0.3256513868297004,standing,wiktor
1673359080654034000,0.1439798750307064,0.2296032370056739,0.1885449708918375,0.3184545796904112,standing,wiktor
1673359080664034000,0.144263149354541,0.240641664264983,0.1874137452351164,0.3110295795213962,standing,wiktor
1673359080674034000,0.1453149524779895,0.2513288586107966,0.1855051830178666,0.3034176422931589,standing,wiktor
1673359080684034000,0.1468801707726244,0.2615752017430299,0.1828792544801826,0.295781674251424,standing,wiktor
1673359080694034000,0.1486752055712197,0.2711725479017358,0.1796412153260508,0.2884001309749648,standing,wiktor
