name,activity,raw_p0,raw_r0,raw_p1,raw_r1,mod1_p0,mod1_r0,mod1_p1,mod1_r1,mod2_p0,mod2_r0,mod2_p1,mod2_r1
InterpolationAccelerometerKubaUpstairs2Apple.csv,downstairs,0.11650485436893204,0.9811320754716981,0.9230769230769231,0.36363636363636365,1.0,0.9930555555555556,0.9230769230769231,1.0,0.9285714285714286,1.0,1.0,0.993006993006993
InterpolationAccelerometerKubaUpstairs2Apple.csv,downstairs,0.2,1.0,1.0,0.5692307692307692,0.9333333333333333,1.0,1.0,0.9923076923076923,0.8235294117647058,1.0,1.0,0.9769230769230769
InterpolationAccelerometerKubaUpstairs2Apple.csv,squats,0.11538461538461539,1.0,1.0,0.5208333333333334,0.8823529411764706,1.0,1.0,0.9916666666666667,0.7894736842105263,1.0,1.0,0.9833333333333333
InterpolationAccelerometerKubaUpstairs2Apple.csv,sitting,0.04578313253012048,1.0,1.0,0.3944954128440367,1.0,1.0,1.0,1.0,0.9047619047619048,1.0,1.0,0.9969418960244648
InterpolationAccelerometerKubaUpstairs2Apple.csv,squats,0.15873015873015872,0.97,0.625,0.7854251012145749,1.0,0.9610894941634242,0.375,1.0,0.875,0.9647058823529412,0.4375,0.9959514170040485
InterpolationAccelerometerKubaUpstairs2Apple.csv,squats,0.18681318681318682,0.9770114942528736,0.8095238095238095,0.6967213114754098,1.0,0.9682539682539683,0.6190476190476191,1.0,1.0,0.976,0.7142857142857143,1.0
InterpolationAccelerometerKubaUpstairs2Apple.csv,standing,0.1103448275862069,0.9916666666666667,0.9411764705882353,0.4798387096774194,1.0,0.9959839357429718,0.9411764705882353,1.0,0.9444444444444444,1.0,1.0,0.9959677419354839
InterpolationAccelerometerKubaUpstairs2Apple.csv,standing,0.1417910447761194,0.9765625,0.8636363636363636,0.5208333333333334,1.0,0.975609756097561,0.7272727272727273,1.0,1.0,0.9836065573770492,0.8181818181818182,1.0
InterpolationAccelerometerKubaUpstairs2Apple.csv,walking,0.0273972602739726,1.0,1.0,0.5056570931244561,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.9982593559617058
InterpolationAccelerometerKubaUpstairs2Apple.csv,downstairs,0.27472527472527475,0.8615384615384616,0.7352941176470589,0.45901639344262296,1.0,0.8652482269503546,0.4411764705882353,1.0,1.0,0.8776978417266187,0.5,1.0
InterpolationAccelerometerKubaUpstairs2Apple.csv,sitting,0.05714285714285714,0.9895104895104895,0.8571428571428571,0.4879310344827586,1.0,0.9880749574105622,0.6666666666666666,1.0,1.0,0.9914529914529915,0.7619047619047619,1.0
InterpolationAccelerometerKubaUpstairs2Apple.csv,upstairs,0.203125,1.0,1.0,0.5984251968503937,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,1.0,0.984251968503937
InterpolationAccelerometerKubaUpstairs2Apple.csv,walking,0.056451612903225805,1.0,1.0,0.6523031203566122,0.7777777777777778,1.0,1.0,0.9940564635958395,0.7,1.0,1.0,0.9910846953937593
InterpolationAccelerometerKubaUpstairs2Apple.csv,standing,0.12037037037037036,0.9865771812080537,0.8666666666666667,0.6074380165289256,1.0,0.9918032786885246,0.8666666666666667,1.0,1.0,1.0,1.0,1.0
InterpolationAccelerometerKubaUpstairs2Apple.csv,upstairs,0.1590909090909091,1.0,1.0,0.5256410256410257,0.8235294117647058,1.0,1.0,0.9807692307692307,0.7368421052631579,1.0,1.0,0.967948717948718
InterpolationAccelerometerKubaUpstairs2Apple.csv,lying,0.08914728682170543,0.9771689497716894,0.8214285714285714,0.4766146993318486,1.0,0.9760869565217392,0.6071428571428571,1.0,0.9473684210526315,0.9781659388646288,0.6428571428571429,0.9977728285077951
InterpolationAccelerometerKubaUpstairs2Apple.csv,lying,0.15625,0.9809523809523809,0.8823529411764706,0.5597826086956522,1.0,0.989247311827957,0.8823529411764706,1.0,0.9411764705882353,0.9945652173913043,0.9411764705882353,0.9945652173913043
InterpolationAccelerometerKubaUpstairs2Apple.csv,lying,0.0761904761904762,0.9763779527559056,0.8421052631578947,0.389937106918239,1.0,0.9875776397515528,0.7894736842105263,1.0,1.0,0.99375,0.8947368421052632,1.0
