time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2,jerkMag,jerkX,jerkY,jerkZ,activity,name
1683470592836390100,0.1742306587804326,-0.4175832769208735,-0.947843764382714,1.0503046783206442,0.1742306587804326,,,-0.4175832769208735,,,-0.947843764382714,,,0.012865669043778,0.0061753372721852,0.0066649145982521,2.5417173340656615e-05,downstairs,user
1683470592846390100,0.0630970700488051,-0.3021283974375693,-0.9407139434395686,0.9900532976403652,0.0630970700488051,0.1742306587804326,,-0.3021283974375693,-0.4175832769208735,,-0.9407139434395686,-0.947843764382714,,0.0019740838013323,0.0004851066795772,3.62612569782372e-05,0.0014527158647768,downstairs,user
1683470592856390100,0.0319488219575468,-0.2936123822921815,-0.9946160002607484,1.0375403347506322,0.0319488219575468,0.0630970700488051,0.1742306587804326,-0.2936123822921815,-0.3021283974375693,-0.4175832769208735,-0.9946160002607484,-0.9407139434395686,-0.947843764382714,0.0015478259401451,0.0012713396050388,0.0002761261328294,3.6020227687871013e-07,downstairs,user
1683470592866390100,0.0823738079275764,-0.3171124304976404,-0.9937672337712132,1.046383798004298,0.0823738079275764,0.0319488219575468,0.0630970700488051,-0.3171124304976404,-0.2936123822921815,-0.3021283974375693,-0.9937672337712132,-0.9946160002607484,-0.9407139434395686,0.0033669327228487,0.0005641178005023,0.0001522236636489,0.0026505912586974,downstairs,user
1683470592876390100,0.0487845894042971,-0.3345608495463094,-0.9209580137685596,0.9810578786886248,0.0487845894042971,0.0823738079275764,0.0319488219575468,-0.3345608495463094,-0.3171124304976404,-0.2936123822921815,-0.9209580137685596,-0.9937672337712132,-0.9946160002607484,0.012372280119436,0.0059837166290079,0.0014367534958299,0.004951809994598,downstairs,user
1683470592886390100,-0.0606111749470521,-0.3881659518376023,-0.8214410805903506,0.9105558574716308,-0.0606111749470521,0.0487845894042971,0.0823738079275764,-0.3881659518376023,-0.3345608495463094,-0.3171124304976404,-0.8214410805903506,-0.9209580137685596,-0.9937672337712132,0.0058796400505055,2.043393647483236e-12,6.064068290320485e-05,0.0058189993655589,downstairs,user
1683470592896390100,-0.0606131965274474,-0.3771531699090245,-0.7135615239954242,0.8093753898484761,-0.0606131965274474,-0.0606111749470521,0.0487845894042971,-0.3771531699090245,-0.3881659518376023,-0.3345608495463094,-0.7135615239954242,-0.8214410805903506,-0.9209580137685596,0.0321719925935961,0.0079083095037584,0.0195285477110528,0.0047351353787849,downstairs,user
1683470592906390100,0.06515094386049,-0.1795244892422101,-0.6162462078444204,0.6451612793761089,0.06515094386049,-0.0606131965274474,-0.0606111749470521,-0.1795244892422101,-0.3771531699090245,-0.3881659518376023,-0.6162462078444204,-0.7135615239954242,-0.8214410805903506,0.0147409388910583,0.0029767753595876,0.0101580119337639,0.0016061515977067,downstairs,user
1683470592916390100,0.1423101994243907,-0.0369901990958463,-0.5595690237628732,0.5785654328114455,0.1423101994243907,0.06515094386049,-0.0606131965274474,-0.0369901990958463,-0.1795244892422101,-0.3771531699090245,-0.5595690237628732,-0.6162462078444204,-0.7135615239954242,0.0020682297333638,0.0016477171072405,0.0004166664297882,3.846196335069794e-06,downstairs,user
1683470592926390100,0.199716072072414,-0.0658577043496169,-0.5623425400635536,0.6003772805756099,0.199716072072414,0.1423101994243907,0.06515094386049,-0.0658577043496169,-0.0369901990958463,-0.1795244892422101,-0.5623425400635536,-0.5595690237628732,-0.6162462078444204,0.0215869183830575,0.009465267059119,0.0053097308508742,0.0068119204730642,downstairs,user
