,time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2
0,1683470399775064300,-0.8767768144607544,-0.3990363478660583,-0.4608248770236969,1.0678610193176523,-0.8767768144607544,,,-0.3990363478660583,,,-0.4608248770236969,,
1,1683470399785064300,-0.5206284295067994,-0.20642006621824244,-0.3197468598875518,0.6449040701966532,-0.5206284295067994,-0.8767768144607544,,-0.20642006621824244,-0.3990363478660583,,-0.3197468598875518,-0.4608248770236969,
2,1683470399795064300,0.04659148088553004,-0.11391285075706065,-0.23905208257700994,0.26887320774504975,0.04659148088553004,-0.5206284295067994,-0.8767768144607544,-0.11391285075706065,-0.20642006621824244,-0.3990363478660583,-0.23905208257700994,-0.3197468598875518,-0.4608248770236969
3,1683470399805064300,0.849089500417558,0.03717120704471388,-0.1756949005076578,0.867872903377502,0.849089500417558,0.04659148088553004,-0.5206284295067994,0.03717120704471388,-0.11391285075706065,-0.20642006621824244,-0.1756949005076578,-0.23905208257700994,-0.3197468598875518
4,1683470399815064300,1.616020372126038,0.06794183027817402,-0.22829952156968866,1.633480519313553,1.616020372126038,0.849089500417558,0.04659148088553004,0.06794183027817402,0.03717120704471388,-0.11391285075706065,-0.22829952156968866,-0.1756949005076578,-0.23905208257700994
5,1683470399825064300,2.1261603667243296,-0.18013986063223458,-0.44066343402120006,2.1788053002738206,2.1261603667243296,1.616020372126038,0.849089500417558,-0.18013986063223458,0.06794183027817402,0.03717120704471388,-0.44066343402120006,-0.22829952156968866,-0.1756949005076578
6,1683470399835064300,2.4561532951545955,-0.4429766115070516,-0.738805460077322,2.6028351456596535,2.4561532951545955,2.1261603667243296,1.616020372126038,-0.4429766115070516,-0.18013986063223458,0.06794183027817402,-0.738805460077322,-0.44066343402120006,-0.22829952156968866
7,1683470399845064300,2.6910954811128724,-0.4930953321570051,-1.0259980082959765,2.9219530810895065,2.6910954811128724,2.4561532951545955,2.1261603667243296,-0.4930953321570051,-0.4429766115070516,-0.18013986063223458,-1.0259980082959765,-0.738805460077322,-0.44066343402120006
8,1683470399855064300,2.8164719194876278,-0.4233704276231553,-1.2587232265490587,3.1138626741239266,2.8164719194876278,2.6910954811128724,2.4561532951545955,-0.4233704276231553,-0.4930953321570051,-0.4429766115070516,-1.2587232265490587,-1.0259980082959765,-0.738805460077322
9,1683470399865064300,2.6836525063351746,-0.37744522033985856,-1.4434239925088042,3.070493200003303,2.6836525063351746,2.8164719194876278,2.6910954811128724,-0.37744522033985856,-0.4233704276231553,-0.4930953321570051,-1.4434239925088042,-1.2587232265490587,-1.0259980082959765
10,1683470399875064300,1.920233644218759,-0.7176008377475339,-1.5427649338747143,2.565613348094188,1.920233644218759,2.6836525063351746,2.8164719194876278,-0.7176008377475339,-0.37744522033985856,-0.4233704276231553,-1.5427649338747143,-1.4434239925088042,-1.2587232265490587
11,1683470399885064300,1.021093125544835,-0.7000788439493503,-1.569480930012366,1.9990027384805806,1.021093125544835,1.920233644218759,2.6836525063351746,-0.7000788439493503,-0.7176008377475339,-0.37744522033985856,-1.569480930012366,-1.5427649338747143,-1.4434239925088042
12,1683470399895064300,0.43273163344248317,-0.27935337861848525,-1.5971563820944654,1.6781547859456958,0.43273163344248317,1.021093125544835,1.920233644218759,-0.27935337861848525,-0.7000788439493503,-0.7176008377475339,-1.5971563820944654,-1.569480930012366,-1.5427649338747143
13,1683470399905064300,0.0755663950355055,0.20787869586250723,-1.5718194945393624,1.587306005679477,0.0755663950355055,0.43273163344248317,1.021093125544835,0.20787869586250723,-0.27935337861848525,-0.7000788439493503,-1.5718194945393624,-1.5971563820944654,-1.569480930012366
14,1683470399915064300,-0.17404990140022347,0.5355503484563117,-1.3400543330493377,1.4535656708361717,-0.17404990140022347,0.0755663950355055,0.43273163344248317,0.5355503484563117,0.20787869586250723,-0.27935337861848525,-1.3400543330493377,-1.5718194945393624,-1.5971563820944654
15,1683470399925064300,-0.3952671203635326,0.6818077842860628,-0.9187939159552205,1.2104875923155423,-0.3952671203635326,-0.17404990140022347,0.0755663950355055,0.6818077842860628,0.5355503484563117,0.20787869586250723,-0.9187939159552205,-1.3400543330493377,-1.5718194945393624
16,1683470399935064300,-0.40375263020975644,0.8833902954320185,-0.4811846627998362,1.0839433934383094,-0.40375263020975644,-0.3952671203635326,-0.17404990140022347,0.8833902954320185,0.6818077842860628,0.5355503484563117,-0.4811846627998362,-0.9187939159552205,-1.3400543330493377
17,1683470399945064300,-0.17725981413538025,0.8397616796358294,0.09323051154516099,0.8633149185407786,-0.17725981413538025,-0.40375263020975644,-0.3952671203635326,0.8397616796358294,0.8833902954320185,0.6818077842860628,0.09323051154516099,-0.4811846627998362,-0.9187939159552205
18,1683470399955064300,0.08531208700266876,0.48716592027907973,0.6522852881431269,0.8185871262108119,0.08531208700266876,-0.17725981413538025,-0.40375263020975644,0.48716592027907973,0.8397616796358294,0.8833902954320185,0.6522852881431269,0.09323051154516099,-0.4811846627998362
19,1683470399965064300,0.2578716298670002,-0.011036124436907477,1.041343811892065,1.072854374134135,0.2578716298670002,0.08531208700266876,-0.17725981413538025,-0.011036124436907477,0.48716592027907973,0.8397616796358294,1.041343811892065,0.6522852881431269,0.09323051154516099
20,1683470399975064300,0.3195382327930366,-0.4790936924477903,1.2764157903125435,1.400311650354645,0.3195382327930366,0.2578716298670002,0.08531208700266876,-0.4790936924477903,-0.011036124436907477,0.48716592027907973,1.2764157903125435,1.041343811892065,0.6522852881431269
21,1683470399985064300,0.29779442077165763,-1.046291640405467,1.3579497560285738,1.73995265847182,0.29779442077165763,0.3195382327930366,0.2578716298670002,-1.046291640405467,-0.4790936924477903,-0.011036124436907477,1.3579497560285738,1.2764157903125435,1.041343811892065
22,1683470399995064300,0.2204285120106183,-1.6816262613815116,1.2672199402998614,2.117144772793953,0.2204285120106183,0.29779442077165763,0.3195382327930366,-1.6816262613815116,-1.046291640405467,-0.4790936924477903,1.2672199402998614,1.3579497560285738,1.2764157903125435
23,1683470400005064300,0.13835524775324484,-2.1729149469828446,1.0406717002262933,2.4132341637425503,0.13835524775324484,0.2204285120106183,0.29779442077165763,-2.1729149469828446,-1.6816262613815116,-1.046291640405467,1.0406717002262933,1.2672199402998614,1.3579497560285738
24,1683470400015064300,0.07700035953190226,-2.2542430557350572,0.8323923032543022,2.4042499363033727,0.07700035953190226,0.13835524775324484,0.2204285120106183,-2.2542430557350572,-2.1729149469828446,-1.6816262613815116,0.8323923032543022,1.0406717002262933,1.2672199402998614
