time,q0,q1,q2,q3,activity,name
1672836294634103600,0.2842816899790956,-0.1202491074859249,0.0291499158756952,-0.1309741037360369,walking,karol
1672836294644103600,0.2836239892493873,-0.1206370099870191,0.0314463563434053,-0.1315345490847161,walking,karol
1672836294654103600,0.2830988723690134,-0.1207042039542991,0.0328954523927701,-0.1322583338015719,walking,karol
1672836294664103600,0.2829472966759068,-0.120714277421629,0.0334668685168445,-0.1324317284272745,walking,karol
1672836294674103600,0.2831615557400359,-0.1205619703737953,0.0330352560130688,-0.1322228162008703,walking,karol
1672836294684103600,0.283692361227414,-0.1199734425824041,0.0314656567219071,-0.132015406530357,walking,karol
1672836294694103600,0.2843991539914041,-0.1191444263986037,0.0295694559143169,-0.1317022739912192,walking,karol
1672836294704103600,0.284932688212389,-0.118383196828135,0.0278266402296183,-0.1316300653787032,walking,karol
1672836294714103600,0.2851338701988565,-0.1177179648815884,0.02611562326591,-0.1321533517262854,walking,karol
1672836294724103600,0.2851446551459897,-0.1170250138913959,0.0245361078398318,-0.1330583487785947,walking,karol
1672836294734103600,0.2850128387438861,-0.116264848796793,0.0235200129095245,-0.1341949936455039,walking,karol
1672836294744103600,0.2848361828817303,-0.1156241369708859,0.0233747929308349,-0.1351501170608803,walking,karol
1672836294754103600,0.2845880202992162,-0.115232549471413,0.0236150509943094,-0.1359660509772772,walking,karol
1672836294764103600,0.28421409033665,-0.115186655499861,0.0241365033451728,-0.1366965797383293,walking,karol
1672836294774103600,0.283692679124167,-0.1155966674446791,0.0251957850878266,-0.1372478170370831,walking,karol
1672836294784103600,0.2829675799714254,-0.1164165306008441,0.0265647948803676,-0.1378042539141755,walking,karol
1672836294794103600,0.2821435917625499,-0.1174135047057276,0.0281589943456325,-0.1383462719164704,walking,karol
1672836294804103600,0.2812430806574056,-0.1184198659309884,0.0299447546218364,-0.1389647191420639,walking,karol
1672836294814103600,0.2803194316239661,-0.119364568861769,0.0318164227810352,-0.1396251536135933,walking,karol
1672836294824103600,0.2793656979250624,-0.1202868048672779,0.0336367808796535,-0.1403359823383308,walking,karol
1672836294834103600,0.2783831081139502,-0.1213312340914347,0.035649577930911,-0.1409142037062545,walking,karol
1672836294844103600,0.2772823145589822,-0.1228413810239425,0.0384752707784918,-0.1410753375163616,walking,karol
1672836294854103600,0.2760814010668947,-0.1248441880105659,0.0423710362927126,-0.1406323138575509,walking,karol
1672836294864103600,0.2747466137374068,-0.1271929578403864,0.046994225447329,-0.1397837852834473,walking,karol
1672836294874103600,0.27363310057636,-0.1295112021107021,0.0519418003016488,-0.1382134263349256,walking,karol
1672836294884103600,0.2727269201230372,-0.1317426629118727,0.0569161141254817,-0.1360655986323889,walking,karol
1672836294894103600,0.2718846675130685,-0.1337067769241323,0.0618049617802007,-0.1338283210919635,walking,karol
1672836294904103600,0.2708701623294189,-0.135637503205686,0.0667843746358392,-0.1316821151666352,walking,karol
1672836294914103600,0.2692123872123221,-0.1378637607916641,0.0723198494619228,-0.1300129025554891,walking,karol
1672836294924103600,0.2665179536638257,-0.1408813117723549,0.0789382779796777,-0.128730265247799,walking,karol
1672836294934103600,0.2626136764998616,-0.1448772739148666,0.0869490942525523,-0.1275463099560609,walking,karol
1672836294944103600,0.257594392731264,-0.1495034375847565,0.0962148640105027,-0.1263306110887052,walking,karol
1672836294954103600,0.2515214102671232,-0.1547487488352567,0.1066365353553031,-0.1245947612473252,walking,karol
1672836294964103600,0.2443020212488422,-0.1609875625779165,0.1182504290177021,-0.1215175613958114,walking,karol
1672836294974103600,0.2361535945344983,-0.1679087124766999,0.1300208590319438,-0.1173219072611948,walking,karol
1672836294984103600,0.2273591379547268,-0.1754057768200019,0.1408833558357279,-0.1123007349856443,walking,karol
1672836294994103600,0.2177991103534615,-0.183671469494658,0.150591556160429,-0.106600694780755,walking,karol
1672836295004103600,0.2070429904516926,-0.1931281037599341,0.1588421781101895,-0.1006380932042735,walking,karol
1672836295014103600,0.1956679461651471,-0.2029350166533528,0.1657579247513681,-0.0942983940104054,walking,karol
1672836295024103600,0.1848096433408258,-0.2122133359301206,0.1704641046155441,-0.0885608492946642,walking,karol
1672836295034103600,0.1750724858438951,-0.2202885961791563,0.1731570477106825,-0.0842954351978899,walking,karol
1672836295044103600,0.1672065857934668,-0.2265776067242229,0.1739414034940589,-0.0825095076432964,walking,karol
1672836295054103600,0.1601764026068787,-0.2316741460959244,0.173732345462009,-0.0831026922394664,walking,karol
1672836295064103600,0.1531282766102382,-0.2358549971709921,0.1730591958399381,-0.0863151625022383,walking,karol
1672836295074103600,0.1465651021753374,-0.2388523752446598,0.1720471463728454,-0.0916671336270195,walking,karol
1672836295084103600,0.140425850515748,-0.2406943923878763,0.1708610520794821,-0.0987830204148664,walking,karol
1672836295094103600,0.1347778250263803,-0.2412752223129781,0.1698982314943498,-0.1069546670539573,walking,karol
1672836295104103600,0.1298293525542677,-0.24078478400511,0.1693042698944221,-0.1151601328443386,walking,karol
1672836295114103600,0.1251363416492111,-0.2401428253388325,0.1704651525787697,-0.1200609114253553,walking,karol
1672836295124103600,0.1196076919009979,-0.2401386451331681,0.1733639139240757,-0.1217239442879972,walking,karol
1672836295134103600,0.1120439512476023,-0.2405677932275376,0.1777623629895168,-0.1220633337824657,walking,karol
1672836295144103600,0.1031798448209287,-0.2404756386480498,0.1832048513104445,-0.1224835987095256,walking,karol
1672836295154103600,0.0940718862043419,-0.2388045833769505,0.1891576502815014,-0.1245745919470213,walking,karol
1672836295164103600,0.084948840022346,-0.2364971926187989,0.194824931685885,-0.1273238966327671,walking,karol
1672836295174103600,0.0759142033259126,-0.2342007141425389,0.1998093215565007,-0.1300241428058006,walking,karol
1672836295184103600,0.0672019096169997,-0.2320036028943904,0.2042116266785133,-0.1323338926448528,walking,karol
1672836295194103600,0.0593300713146332,-0.2299094396950219,0.2082587205424151,-0.1337934833211214,walking,karol
1672836295204103600,0.0524875353238412,-0.2276180940960235,0.2114989745133097,-0.1357564923926757,walking,karol
1672836295214103600,0.0476186456303023,-0.2245799013372207,0.2135908203639207,-0.1395136826948792,walking,karol
1672836295224103600,0.0438449617470681,-0.2226253214506713,0.2138032390276058,-0.1436318173469332,walking,karol
1672836295234103600,0.0415458094292131,-0.2229803526271992,0.2111491996150531,-0.1476908292601111,walking,karol
1672836295244103600,0.0404433415156738,-0.226789125029274,0.2059520014846163,-0.1495843285195087,walking,karol
1672836295254103600,0.0402241815756349,-0.2328996443263472,0.1995873963342687,-0.1490245829467814,walking,karol
1672836295264103600,0.0406606683633481,-0.2378188242876022,0.194405613992088,-0.1480755534628293,walking,karol
1672836295274103600,0.0412167982259063,-0.2410499124619213,0.1912517774763083,-0.1468340018178827,walking,karol
1672836295284103600,0.0405504635091958,-0.2421188092513486,0.1915058345314758,-0.1449503792888939,walking,karol
1672836295294103600,0.0382296906246946,-0.2415133776132905,0.1948474134199359,-0.1422567175753262,walking,karol
1672836295304103600,0.0337786663152787,-0.2400177064757029,0.2006934079188389,-0.1380777846280945,walking,karol
1672836295314103600,0.0288963051424942,-0.2381614173658953,0.2068780406190024,-0.1336136334701172,walking,karol
1672836295324103600,0.0252222596176457,-0.2355111216705337,0.212196616533862,-0.1310097558646133,walking,karol
1672836295334103600,0.022926658160273,-0.2324173143729235,0.2168324747625757,-0.129626493902127,walking,karol
1672836295344103600,0.0220189836736905,-0.2292222490326511,0.220858324610707,-0.1289095289289215,walking,karol
1672836295354103600,0.0213642297022192,-0.2258784762428309,0.2250638273255708,-0.1279011963531809,walking,karol
1672836295364103600,0.0206308917709582,-0.2221916377130385,0.2297790783699147,-0.126394981220362,walking,karol
1672836295374103600,0.0198911971760054,-0.2184465867970119,0.2339028795187366,-0.1257565782414803,walking,karol
1672836295384103600,0.0192268474806218,-0.2147270295743886,0.2366968457062687,-0.127258964606101,walking,karol
1672836295394103600,0.0184847899777944,-0.211321012490093,0.2384529484991967,-0.1299628765462803,walking,karol
1672836295404103600,0.0178318523081191,-0.2084751780068319,0.239000113085035,-0.1337613773134537,walking,karol
1672836295414103600,0.0183889453937892,-0.2077170160730089,0.2367310573572891,-0.1389384227200019,walking,karol
1672836295424103600,0.0204895550852068,-0.2081304704075778,0.232545111261454,-0.1451579241613873,walking,karol
1672836295434103600,0.0246402604902358,-0.2077908626459325,0.228416509560098,-0.1516889519823092,walking,karol
1672836295444103600,0.0300077621993801,-0.2070935965422818,0.2245019211104516,-0.157702608322366,walking,karol
1672836295454103600,0.035015042465522,-0.2070538084444579,0.2208127982636628,-0.1620824446145827,walking,karol
1672836295464103600,0.0394702199494607,-0.20758102982158,0.2170272953621457,-0.1656204793592166,walking,karol
1672836295474103600,0.0435258715051473,-0.2084469640540303,0.21296607257942,-0.1688960073709317,walking,karol
1672836295484103600,0.0474864101642808,-0.2094335432714897,0.2087727026244963,-0.1719470107730834,walking,karol
1672836295494103600,0.051584458805525,-0.2103876737238057,0.2046257428066826,-0.1746927397356824,walking,karol
1672836295504103600,0.0551972448675872,-0.211288118862211,0.2006229772366367,-0.1772329074572621,walking,karol
