,time,q0,q1,q2,q3
0,1683472978379798300,0.08301569993008917,0.030338158755951916,0.0547078099772586,0.1539936216326746
1,1683472978389798300,0.0848378748531382,0.02986157699826548,0.05431677985924318,0.1532321408681546
2,1683472978399798300,0.08660322448277574,0.029293557771047144,0.05390303584926527,0.1525004977022443
3,1683472978409798300,0.08834029311529291,0.02880707518290566,0.05343195241581218,0.15176298178607653
4,1683472978419798300,0.09011738850036087,0.028344305940073446,0.05282089741001922,0.15102038538630946
5,1683472978429798300,0.09191515222930147,0.027880529812635783,0.05209799434964404,0.1502763065424039
6,1683472978439798300,0.09371502798148985,0.027405932215807737,0.051350431380779216,0.14951125324728243
7,1683472978449798300,0.09552700564133701,0.026865680124805745,0.05063277573324562,0.1487089071946695
8,1683472978459798300,0.09732912525676746,0.02633960972016638,0.049943470989194605,0.1478686932369074
9,1683472978469798300,0.09909826635393526,0.025782652535146246,0.04928908599964287,0.14701211897126895
10,1683472978479798300,0.10077300954120742,0.02516415592839461,0.048696710576171004,0.14617865684846715
11,1683472978489798300,0.10231790762763593,0.024433790701436902,0.048175415222681275,0.1454025261404391
12,1683472978499798300,0.10075333959012679,0.024797252429596812,0.047208891671653166,0.14674657755040738
13,1683472978509798300,0.10281528159481969,0.02377809198280303,0.046893429142740015,0.14558434621827138
14,1683472978519798300,0.10098114238479819,0.023770265686044272,0.04591867499750669,0.14717555223431603
15,1683472978529798300,0.09902135219878067,0.02311703775892695,0.04496556358870248,0.1489037342869893
16,1683472978539798300,0.09704924192550392,0.022026466732301273,0.0440458105933337,0.15064425011538368
17,1683472978549798300,0.0952119078146951,0.020540279894298994,0.043041885011343844,0.15232371811779416
18,1683472978559798300,0.09362322820107696,0.018531653040273252,0.0417795756817412,0.15393343933390036
19,1683472978569798300,0.09228492591485847,0.015887717332390933,0.04016017039454357,0.15549847159425398
20,1683472978579798300,0.09111736500257427,0.012595539146988962,0.03814055066440257,0.1570456202926604
21,1683472978589798300,0.08996708894625048,0.008768407569669921,0.03574597973667116,0.15859888933202698
22,1683472978599798300,0.08867384588663284,0.004628311144734167,0.033061294790234,0.1601629464167893
23,1683472978609798300,0.08706736170698391,0.0003867387268935637,0.030205644372023176,0.16175790712484836
24,1683472978619798300,0.08500862189146108,-0.00383414949673653,0.027319339488694572,0.16340405939970315
25,1683472978629798300,0.08247232827776414,-0.008086340001427637,0.02448191759909138,0.16508252445770816
26,1683472978639798300,0.07954465089193621,-0.012605542942893082,0.02175533844656248,0.16670948392049822
27,1683472978649798300,0.07636432731556433,-0.017831348803413957,0.01909596224711124,0.1681596047105688
28,1683472978659798300,0.07299933070125975,-0.02406128804873444,0.016460956327582953,0.16930790002180748
29,1683472978669798300,0.06939526473895553,-0.03127386627417346,0.013831833011174528,0.17007440599566065
30,1683472978679798300,0.06546560232656977,-0.03926506939326751,0.011256309050422877,0.1703990517484604
31,1683472978689798300,0.06114045246563041,-0.047580370318569896,0.008919599986385493,0.17027774219512956
32,1683472978699798300,0.05628515143203711,-0.055633191063141976,0.007031353947755608,0.16984298163727082
33,1683472978709798300,0.0507543164280446,-0.06291700476392272,0.0056466834458486935,0.1693118611068886
34,1683472978719798300,0.044534908043816254,-0.06916860405098385,0.004656418544531575,0.16884145600741834
35,1683472978729798300,0.037773737571591144,-0.07442575421923146,0.0038354715732799817,0.16844222021840802
36,1683472978739798300,0.030759235493359814,-0.0787811727493404,0.003038066122072418,0.16805431738276314
37,1683472978749798300,0.02719690119099246,-0.08228031232077111,0.0006194526984542763,0.16714272744634917
38,1683472978759798300,0.023881144762468835,-0.08483208556850867,-0.0018258764625196204,0.16646607272009203
39,1683472978769798300,0.020867515988023375,-0.08656696018808377,-0.004279140138149317,0.16601548818493828
40,1683472978779798300,0.01811018569191369,-0.08771794458279134,-0.006715680316205966,0.16572470917423834
41,1683472978789798300,0.015522599088552958,-0.08848581776808648,-0.008996207572501108,0.1655331926905362
42,1683472978799798300,0.013074948188942873,-0.08897483317923106,-0.010899469958370218,0.16542278107087674
43,1683472978809798300,0.010800663309229252,-0.08915017010042668,-0.012181031448301015,0.16544992288892754
44,1683472978819798300,0.008774936568017378,-0.08896965257932815,-0.012721382864501663,0.16566681231681538
45,1683472978829798300,0.007048999270518481,-0.08852177518905185,-0.012647913217552516,0.16603140346355763
46,1683472978839798300,0.005707295691210859,-0.08791030375214051,-0.012172311471346781,0.16647564075082846
47,1683472978849798300,0.004855300539413392,-0.08709678328415628,-0.011476638897613318,0.1670063753201818
48,1683472978859798300,0.004553475308386443,-0.08609957541184114,-0.010752898207680037,0.16760062029293046
49,1683472978869798300,0.004841049936590312,-0.08502063414395776,-0.010162789644736011,0.16819414052261847
50,1683472978879798300,0.005761851679224609,-0.08363932370783546,-0.009889045574954665,0.16888375560040517
51,1683472978889798300,0.0072912768887863945,-0.08168742215376774,-0.01023166744636151,0.16977036638582574
52,1683472978899798300,0.009376665788961283,-0.07925312496019345,-0.011362177329166768,0.17076682030949036
53,1683472978909798300,0.012056241616048988,-0.07631937936612568,-0.013046707476806358,0.17184342339112435
54,1683472978919798300,0.015402892104742142,-0.07284184940793081,-0.014846458783877558,0.1729832818485418
55,1683472978929798300,0.019275494727171976,-0.06929147674776115,-0.016437456252531502,0.17395934027775625
56,1683472978939798300,0.023522276725212166,-0.06601657852956129,-0.018310640605074095,0.17457393140957317
57,1683472978949798300,0.02768732110711435,-0.06339947812427268,-0.02028883413943504,0.1747534269809485
58,1683472978959798300,0.03148832097770659,-0.061839062954586126,-0.02207474822051757,0.17447353316367503
