,time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2
0,1683473421373035800,0.7403364913737401,-0.38284574488743045,0.8124772105272121,1.1639536942954694,0.7403364913737401,,,-0.38284574488743045,,,0.8124772105272121,,
1,1683473421383035800,0.7035813309663016,-0.6385267446188185,0.4584887638114254,1.0549668428055676,0.7035813309663016,0.7403364913737401,,-0.6385267446188185,-0.38284574488743045,,0.4584887638114254,0.8124772105272121,
2,1683473421393035800,0.7162256391435975,-0.9044466478464009,0.09127895153820911,1.1572963112190244,0.7162256391435975,0.7035813309663016,0.7403364913737401,-0.9044466478464009,-0.6385267446188185,-0.38284574488743045,0.09127895153820911,0.4584887638114254,0.8124772105272121
3,1683473421403035800,0.6557853754589618,-1.1682576088344794,-0.20322228712353013,1.3550570457546152,0.6557853754589618,0.7162256391435975,0.7035813309663016,-1.1682576088344794,-0.9044466478464009,-0.6385267446188185,-0.20322228712353013,0.09127895153820911,0.4584887638114254
4,1683473421413035800,0.5891580747047644,-1.395343791034876,-0.3093812932023151,1.545900487338348,0.5891580747047644,0.6557853754589618,0.7162256391435975,-1.395343791034876,-1.1682576088344794,-0.9044466478464009,-0.3093812932023151,-0.20322228712353013,0.09127895153820911
5,1683473421423035800,0.6011877085414448,-1.3956755751307814,-0.2831507117870713,1.545804417610286,0.6011877085414448,0.5891580747047644,0.6557853754589618,-1.3956755751307814,-1.395343791034876,-1.1682576088344794,-0.2831507117870713,-0.3093812932023151,-0.20322228712353013
6,1683473421433035800,0.758445395647847,-1.129024721600928,-0.2167423339078154,1.3772848214778521,0.758445395647847,0.6011877085414448,0.5891580747047644,-1.129024721600928,-1.3956755751307814,-1.395343791034876,-0.2167423339078154,-0.2831507117870713,-0.3093812932023151
7,1683473421443035800,1.0236665298420615,-0.6786143544200587,-0.13662198986110605,1.23574923607399,1.0236665298420615,0.758445395647847,0.6011877085414448,-0.6786143544200587,-1.129024721600928,-1.3956755751307814,-0.13662198986110605,-0.2167423339078154,-0.2831507117870713
8,1683473421453035800,1.1969751558884745,0.296297265945907,0.25270526865745224,1.2587301324861069,1.1969751558884745,1.0236665298420615,0.758445395647847,0.296297265945907,-0.6786143544200587,-1.129024721600928,0.25270526865745224,-0.13662198986110605,-0.2167423339078154
9,1683473421463035800,1.0320336377655297,0.7823187289914774,1.0869544845335053,1.6907353650580246,1.0320336377655297,1.1969751558884745,1.0236665298420615,0.7823187289914774,0.296297265945907,-0.6786143544200587,1.0869544845335053,0.25270526865745224,-0.13662198986110605
10,1683473421473035800,0.362399738768208,0.36641586388579567,1.698065285353758,1.7745477929010474,0.362399738768208,1.0320336377655297,1.1969751558884745,0.36641586388579567,0.7823187289914774,0.296297265945907,1.698065285353758,1.0869544845335053,0.25270526865745224
11,1683473421483035800,-0.3002092822136506,-0.07031303445607463,1.8266890205177888,1.8525286269372183,-0.3002092822136506,0.362399738768208,1.0320336377655297,-0.07031303445607463,0.36641586388579567,0.7823187289914774,1.8266890205177888,1.698065285353758,1.0869544845335053
12,1683473421493035800,-0.5463851996844143,-0.2223302248214248,1.5982732013756404,1.7036562862088296,-0.5463851996844143,-0.3002092822136506,0.362399738768208,-0.2223302248214248,-0.07031303445607463,0.36641586388579567,1.5982732013756404,1.8266890205177888,1.698065285353758
13,1683473421503035800,-0.5051159286523208,-0.43002039765008115,1.3213564476993631,1.4785271406538705,-0.5051159286523208,-0.5463851996844143,-0.3002092822136506,-0.43002039765008115,-0.2223302248214248,-0.07031303445607463,1.3213564476993631,1.5982732013756404,1.8266890205177888
14,1683473421513035800,-0.12863242419742524,-1.0235580492622505,1.240104660446832,1.6130954558321717,-0.12863242419742524,-0.5051159286523208,-0.5463851996844143,-1.0235580492622505,-0.43002039765008115,-0.2223302248214248,1.240104660446832,1.3213564476993631,1.5982732013756404
