time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2,jerkMag,jerkX,jerkY,jerkZ,activity,name
1683473007820671200,0.3799011605905045,-0.3701096448147907,-0.8273713755691933,0.982776390698414,0.3799011605905045,,,-0.3701096448147907,,,-0.8273713755691933,,,0.0001834356713741,1.5304025464954846e-05,6.933882421597801e-05,9.87928216932344e-05,squats,user
1683473007830671200,0.3854336149219843,-0.3583334973788948,-0.8414278916164387,0.9924529528626052,0.3854336149219843,0.3799011605905045,,-0.3583334973788948,-0.3701096448147907,,-0.8414278916164387,-0.8273713755691933,,9.104833851134024e-05,7.174661583894462e-07,8.746222912339159e-05,2.8686432295592014e-06,squats,user
1683473007840671200,0.3866315015262916,-0.345107596341658,-0.8390326282782818,0.986184020525963,0.3866315015262916,0.3854336149219843,0.3799011605905045,-0.345107596341658,-0.3583334973788948,-0.3701096448147907,-0.8390326282782818,-0.8414278916164387,-0.8273713755691933,0.0002216136334076,9.154330590296795e-06,0.000168577887959,4.388141485837993e-05,squats,user
1683473007850671200,0.382352639390093,-0.3267457942536815,-0.8296644465060936,0.9702058795468632,0.382352639390093,0.3866315015262916,0.3854336149219843,-0.3267457942536815,-0.345107596341658,-0.3583334973788948,-0.8296644465060936,-0.8390326282782818,-0.8414278916164387,0.0001963661502691,6.097585775100503e-07,0.0001705336390701,2.52227526214726e-05,squats,user
1683473007860671200,0.3812483218836575,-0.3082777873731229,-0.822561946576988,0.9575978451747356,0.3812483218836575,0.382352639390093,0.3866315015262916,-0.3082777873731229,-0.3267457942536815,-0.345107596341658,-0.822561946576988,-0.8296644465060936,-0.8390326282782818,7.260340198975058e-05,2.7277771438709845e-05,4.42367420247844e-05,1.0888885262563297e-06,squats,user
1683473007870671200,0.3886344942941431,-0.2988717529244528,-0.8210862172479738,0.9563177667522372,0.3886344942941431,0.3812483218836575,0.382352639390093,-0.2988717529244528,-0.3082777873731229,-0.3267457942536815,-0.8210862172479738,-0.822561946576988,-0.8296644465060936,4.700746933200477e-05,3.310967465325433e-05,3.367623742333343e-06,1.0530170936417106e-05,squats,user
1683473007880671200,0.3967720215172318,-0.2962765173889634,-0.8164970624376809,0.9549216013811634,0.3967720215172318,0.3886344942941431,0.3812483218836575,-0.2962765173889634,-0.2988717529244528,-0.3082777873731229,-0.8164970624376809,-0.8210862172479738,-0.822561946576988,4.033046265953777e-05,2.27587527903768e-05,1.0890237029346213e-05,6.681472839814763e-06,squats,user
1683473007890671200,0.4035186877740399,-0.291609561843997,-0.812841526132345,0.9531919085613824,0.4035186877740399,0.3967720215172318,0.3886344942941431,-0.291609561843997,-0.2962765173889634,-0.2988717529244528,-0.812841526132345,-0.8164970624376809,-0.8210862172479738,0.0001256394261009,3.9176595337747225e-05,3.832324788850721e-05,4.813958287470808e-05,squats,user
1683473007900671200,0.412370421540681,-0.2828547634010279,-0.8030293313855303,0.945998038478824,0.412370421540681,0.4035186877740399,0.3967720215172318,-0.2828547634010279,-0.291609561843997,-0.2962765173889634,-0.8030293313855303,-0.812841526132345,-0.8164970624376809,0.0001120405544036,3.29783540509325e-05,4.989934666799493e-05,2.916285368468449e-05,squats,user
1683473007910671200,0.4204917950761038,-0.2728648338048801,-0.7953922044801183,0.9401687753810116,0.4204917950761038,0.412370421540681,0.4035186877740399,-0.2728648338048801,-0.2828547634010279,-0.291609561843997,-0.7953922044801183,-0.8030293313855303,-0.812841526132345,1.8949547978573468e-05,8.923972137201455e-06,2.788700288814369e-06,7.2368755525576445e-06,squats,user
1683473007920671200,0.4247164778185595,-0.2705031817183888,-0.7915877661371936,0.9381722919317362,0.4247164778185595,0.4204917950761038,0.412370421540681,-0.2705031817183888,-0.2728648338048801,-0.2828547634010279,-0.7915877661371936,-0.7953922044801183,-0.8030293313855303,1.3801680593277117e-05,4.055828389115023e-06,2.06109272899679e-07,9.539742931262413e-06,squats,user
1683473007930671200,0.421868380773473,-0.2698611392386421,-0.7872197590558664,0.9330128156759616,0.421868380773473,0.4247164778185595,0.4204917950761038,-0.2698611392386421,-0.2705031817183888,-0.2728648338048801,-0.7872197590558664,-0.7915877661371936,-0.7953922044801183,1.5745882057732822e-05,5.527679713248131e-07,1.5017630228602594e-05,1.7548385780541522e-07,squats,user
1683473007940671200,0.4208169360803723,-0.264380695784212,-0.7878121843385906,0.9314677041034528,0.4208169360803723,0.421868380773473,0.4247164778185595,-0.264380695784212,-0.2698611392386421,-0.2705031817183888,-0.7878121843385906,-0.7872197590558664,-0.7915877661371936,7.93858859129521e-05,7.13513915934768e-05,6.682357318410498e-07,7.366258587634257e-06,squats,user
1683473007950671200,0.4088711090605736,-0.2655367543742852,-0.7916504804677693,0.9297289040214374,0.4088711090605736,0.4208169360803723,0.421868380773473,-0.2655367543742852,-0.264380695784212,-0.2698611392386421,-0.7916504804677693,-0.7878121843385906,-0.7872197590558664,0.0002454772204396,0.0002209815194928,1.8002794615195435e-05,6.49290633156517e-06,squats,user
