,time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2
0,1683473007820671200,-0.4165914622299675,0.4479872530717971,0.2996248276925459,0.6811872449536212,-0.4165914622299675,,,0.4479872530717971,,,0.2996248276925459,,
1,1683473007830671200,-0.5361602093875776,0.4812120633191163,0.35415421727186974,0.8027814332841928,-0.5361602093875776,-0.4165914622299675,,0.4812120633191163,0.4479872530717971,,0.35415421727186974,0.2996248276925459,
2,1683473007840671200,-0.6278000647914568,0.5595648738056191,0.4203091043298008,0.9401624926212357,-0.6278000647914568,-0.5361602093875776,-0.4165914622299675,0.5595648738056191,0.4812120633191163,0.4479872530717971,0.4203091043298008,0.35415421727186974,0.2996248276925459
3,1683473007850671200,-0.6912153403685447,0.6599248166429369,0.5110792014700773,1.083734912493507,-0.6912153403685447,-0.6278000647914568,-0.5361602093875776,0.6599248166429369,0.5595648738056191,0.4812120633191163,0.5110792014700773,0.4203091043298008,0.35415421727186974
4,1683473007860671200,-0.733863763882919,0.7544734154258055,0.6224541957823077,1.222798178102864,-0.733863763882919,-0.6912153403685447,-0.6278000647914568,0.7544734154258055,0.6599248166429369,0.5595648738056191,0.6224541957823077,0.5110792014700773,0.4203091043298008
5,1683473007870671200,-0.7525726049898802,0.8329745980077197,0.7576437931495955,1.3543398111277256,-0.7525726049898802,-0.733863763882919,-0.6912153403685447,0.8329745980077197,0.7544734154258055,0.6599248166429369,0.7576437931495955,0.6224541957823077,0.5110792014700773
6,1683473007880671200,-0.7577051385533238,0.8790673994331857,0.9132124464528844,1.476764552016603,-0.7577051385533238,-0.7525726049898802,-0.733863763882919,0.8790673994331857,0.8329745980077197,0.7544734154258055,0.9132124464528844,0.7576437931495955,0.6224541957823077
7,1683473007890671200,-0.7535577033987659,0.891207343988859,1.0637119599002227,1.5791082534031895,-0.7535577033987659,-0.7577051385533238,-0.7525726049898802,0.891207343988859,0.8790673994331857,0.8329745980077197,1.0637119599002227,0.9132124464528844,0.7576437931495955
8,1683473007900671200,-0.7337743627547422,0.8670718801792963,1.1932374813363396,1.647438662803468,-0.7337743627547422,-0.7535577033987659,-0.7577051385533238,0.8670718801792963,0.891207343988859,0.8790673994331857,1.1932374813363396,1.0637119599002227,0.9132124464528844
9,1683473007910671200,-0.7048256060878245,0.820943464312603,1.311358380009008,1.700114145407448,-0.7048256060878245,-0.7337743627547422,-0.7535577033987659,0.820943464312603,0.8670718801792963,0.891207343988859,1.311358380009008,1.1932374813363396,1.0637119599002227
10,1683473007920671200,-0.6640039559661871,0.7595258810725583,1.4353394410708595,1.7544173188416148,-0.6640039559661871,-0.7048256060878245,-0.7337743627547422,0.7595258810725583,0.820943464312603,0.8670718801792963,1.4353394410708595,1.311358380009008,1.1932374813363396
11,1683473007930671200,-0.6212893109747569,0.7030575385072361,1.5560123444875782,1.8169933204558215,-0.6212893109747569,-0.6640039559661871,-0.7048256060878245,0.7030575385072361,0.7595258810725583,0.820943464312603,1.5560123444875782,1.4353394410708595,1.311358380009008
12,1683473007940671200,-0.5832239316709255,0.6252242814164058,1.6635091472004264,1.8703791699454535,-0.5832239316709255,-0.6212893109747569,-0.6640039559661871,0.6252242814164058,0.7030575385072361,0.7595258810725583,1.6635091472004264,1.5560123444875782,1.4353394410708595
13,1683473007950671200,-0.5618789847079322,0.5446521325448249,1.750965459244473,1.917872252891013,-0.5618789847079322,-0.5832239316709255,-0.6212893109747569,0.5446521325448249,0.6252242814164058,0.7030575385072361,1.750965459244473,1.6635091472004264,1.5560123444875782
14,1683473007960671200,-0.5694792861721653,0.4638621989077295,1.8094458547519374,1.9528361677912571,-0.5694792861721653,-0.5618789847079322,-0.5832239316709255,0.4638621989077295,0.5446521325448249,0.6252242814164058,1.8094458547519374,1.750965459244473,1.6635091472004264
15,1683473007970671200,-0.5983023914695765,0.4016116537793654,1.832252707395193,1.968859480980455,-0.5983023914695765,-0.5694792861721653,-0.5618789847079322,0.4016116537793654,0.4638621989077295,0.5446521325448249,1.832252707395193,1.8094458547519374,1.750965459244473
16,1683473007980671200,-0.6258331975971325,0.3123724340664996,1.8333129404658746,1.9622130532791062,-0.6258331975971325,-0.5983023914695765,-0.5694792861721653,0.3123724340664996,0.4016116537793654,0.4638621989077295,1.8333129404658746,1.832252707395193,1.8094458547519374
17,1683473007990671200,-0.6488278221793541,0.18488484927692805,1.8199482328509908,1.9409717979876988,-0.6488278221793541,-0.6258331975971325,-0.5983023914695765,0.18488484927692805,0.3123724340664996,0.4016116537793654,1.8199482328509908,1.8333129404658746,1.832252707395193
18,1683473008000671200,-0.6688566724348042,0.04375016826717762,1.8078180858848842,1.9280792403675873,-0.6688566724348042,-0.6488278221793541,-0.6258331975971325,0.04375016826717762,0.18488484927692805,0.3123724340664996,1.8078180858848842,1.8199482328509908,1.8333129404658746
19,1683473008010671200,-0.6918206505317418,-0.0908612137187944,1.797793872681553,1.9284538836363059,-0.6918206505317418,-0.6688566724348042,-0.6488278221793541,-0.0908612137187944,0.04375016826717762,0.18488484927692805,1.797793872681553,1.8078180858848842,1.8199482328509908
