,time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2
0,1683470280168339700,29.80161348705416,-206.4917297998271,-378.4846936903086,432.1777805487034,29.80161348705416,,,29.80161348705416,,,-206.4917297998271,,
1,1683470280178339700,29.12422660045369,-207.14248404131024,-378.29061393761924,432.27308251055825,29.12422660045369,29.80161348705416,,29.12422660045369,29.80161348705416,,-207.14248404131024,-206.4917297998271,
2,1683470280188339700,28.399532395494518,-208.5993334299874,-378.2722503089791,432.90889422780026,28.399532395494518,29.12422660045369,29.80161348705416,28.399532395494518,29.12422660045369,29.80161348705416,-208.5993334299874,-207.14248404131024,-206.4917297998271
3,1683470280198339700,26.9213984979058,-209.93238450448695,-378.1453439733558,433.3477459610819,26.9213984979058,28.399532395494518,29.12422660045369,26.9213984979058,28.399532395494518,29.12422660045369,-209.93238450448695,-208.5993334299874,-207.14248404131024
4,1683470280208339700,24.848687285347236,-211.09987383945372,-377.903371806269,433.5799492796979,24.848687285347236,26.9213984979058,28.399532395494518,24.848687285347236,26.9213984979058,28.399532395494518,-211.09987383945372,-209.93238450448695,-208.5993334299874
5,1683470280218339700,23.037851720317597,-211.89740273880892,-377.8484753267014,433.8210716482698,23.037851720317597,24.848687285347236,26.9213984979058,23.037851720317597,24.848687285347236,26.9213984979058,-211.89740273880892,-211.09987383945372,-209.93238450448695
6,1683470280228339700,21.147999653758905,-212.48533933478652,-377.53499272108877,433.7394702473909,21.147999653758905,23.037851720317597,24.848687285347236,21.147999653758905,23.037851720317597,24.848687285347236,-212.48533933478652,-211.89740273880892,-211.09987383945372
7,1683470280238339700,19.541546366694906,-213.2640685810756,-377.66030842730237,434.1552067447315,19.541546366694906,21.147999653758905,23.037851720317597,19.541546366694906,21.147999653758905,23.037851720317597,-213.2640685810756,-212.48533933478652,-211.89740273880892
8,1683470280248339700,18.72970547581577,-213.62862972268823,-377.08215399772223,433.79597066820037,18.72970547581577,19.541546366694906,21.147999653758905,18.72970547581577,19.541546366694906,21.147999653758905,-213.62862972268823,-213.2640685810756,-212.48533933478652
9,1683470280258339700,18.490381563352674,-213.700673523445,-377.04151473344757,433.78586411641515,18.490381563352674,18.72970547581577,19.541546366694906,18.490381563352674,18.72970547581577,19.541546366694906,-213.700673523445,-213.62862972268823,-213.2640685810756
10,1683470280268339700,18.5963936233839,-213.86221239953002,-377.1158469214846,433.93459616343813,18.5963936233839,18.490381563352674,18.72970547581577,18.5963936233839,18.490381563352674,18.72970547581577,-213.86221239953002,-213.700673523445,-213.62862972268823
11,1683470280278339700,18.94463976635191,-213.94459465714877,-377.1570879223647,434.0261028198268,18.94463976635191,18.5963936233839,18.490381563352674,18.94463976635191,18.5963936233839,18.490381563352674,-213.94459465714877,-213.86221239953002,-213.700673523445
12,1683470280288339700,18.85884874530412,-212.97916234483682,-377.2900956237427,433.6629982196769,18.85884874530412,18.94463976635191,18.5963936233839,18.85884874530412,18.94463976635191,18.5963936233839,-212.97916234483682,-213.94459465714877,-213.86221239953002
13,1683470280298339700,18.146027791382103,-212.65659853273425,-378.21728435099243,434.281500188481,18.146027791382103,18.85884874530412,18.94463976635191,18.146027791382103,18.85884874530412,18.94463976635191,-212.65659853273425,-212.97916234483682,-213.94459465714877
14,1683470280308339700,16.8351580345895,-212.2092974172282,-377.87018734325056,433.707374780723,16.8351580345895,18.146027791382103,18.85884874530412,16.8351580345895,18.146027791382103,18.85884874530412,-212.2092974172282,-212.65659853273425,-212.97916234483682
15,1683470280318339700,14.43747055382884,-211.41230854204773,-378.53184350703816,433.8086690096309,14.43747055382884,16.8351580345895,18.146027791382103,14.43747055382884,16.8351580345895,18.146027791382103,-211.41230854204773,-212.2092974172282,-212.65659853273425
16,1683470280328339700,12.51693367721736,-210.59651586791668,-378.591624666549,433.40418132736403,12.51693367721736,14.43747055382884,16.8351580345895,12.51693367721736,14.43747055382884,16.8351580345895,-210.59651586791668,-211.41230854204773,-212.2092974172282
17,1683470280338339700,10.736887222717655,-209.94625942089522,-379.10860591689766,433.4928461604791,10.736887222717655,12.51693367721736,14.43747055382884,10.736887222717655,12.51693367721736,14.43747055382884,-209.94625942089522,-210.59651586791668,-211.41230854204773
18,1683470280348339700,9.137218633225825,-209.7006877030653,-379.1689847711345,433.3901085625545,9.137218633225825,10.736887222717655,12.51693367721736,9.137218633225825,10.736887222717655,12.51693367721736,-209.7006877030653,-209.94625942089522,-210.59651586791668
