acc_x_mpf1,acc_y_mpf1,acc_z_mpf1,acc_x_iqr,acc_y_iqr,acc_z_iqr,acc_x_wilson_amp,acc_y_wilson_amp,acc_z_wilson_amp,acc_x_crossco,acc_y_crossco,acc_z_crossco,acc_x_three_quarters,acc_y_three_quarters,acc_z_three_quarters,acc_x_one_quarter,acc_y_one_quarter,acc_z_one_quarter,acc_x_corecoef,acc_y_corecoef,acc_z_corecoef,acc_mpf,acc_x_slope_change,acc_y_slope_change,acc_z_slope_change,acc_x_rms,acc_y_rms,acc_z_rms,acc_x_stdev,acc_y_stdev,acc_z_stdev,acc_x_mean,acc_y_mean,acc_z_mean,acc_x_mad,acc_y_mad,acc_z_mad,acc_x_zerocr,acc_y_zerocr,acc_z_zerocr,acc_x_wf,acc_y_wf,acc_z_wf,acc_x_mav,acc_y_mav,acc_z_mav,acc_x_p2p,acc_y_p2p,acc_z_p2p,acc_x_median_frequency,acc_y_median_frequency,acc_z_median_frequency,acc_x_entropy,acc_y_entropy,acc_z_entropy,acc_x_kurtosis_t,acc_y_kurtosis_t,acc_z_kurtosis_t,acc_x_kurtosis_f,acc_y_kurtosis_f,acc_z_kurtosis_f,acc_x_skewness_t,acc_y_skewness_t,acc_z_skewness_t,acc_x_skewness_f,acc_y_skewness_f,acc_z_skewness_f,acc_x_top3,acc_y_top3,acc_z_top3,acc_x_autoregyw_1,acc_x_autoregyw_2,acc_x_autoregyw_3,acc_x_autoregyw_4,acc_y_autoregyw_1,acc_y_autoregyw_2,acc_y_autoregyw_3,acc_y_autoregyw_4,acc_z_autoregyw_1,acc_z_autoregyw_2,acc_z_autoregyw_3,acc_z_autoregyw_4,acc_x_autoregburg_1,acc_x_autoregburg_2,acc_x_autoregburg_3,acc_x_autoregburg_4,acc_y_autoregburg_1,acc_y_autoregburg_2,acc_y_autoregburg_3,acc_y_autoregburg_4,acc_z_autoregburg_1,acc_z_autoregburg_2,acc_z_autoregburg_3,acc_z_autoregburg_4,acc_z_enwacto_1,acc_z_enwacto_2,acc_z_enwacto_3,acc_z_enwacto_4,acc_z_enwacto_5,acc_z_enwacto_6,acc_z_enwacto_7,acc_y_enwacto_1,acc_y_enwacto_2,acc_y_enwacto_3,acc_y_enwacto_4,acc_y_enwacto_5,acc_y_enwacto_6,acc_y_enwacto_7,acc_x_enwacto_1,acc_x_enwacto_2,acc_x_enwacto_3,acc_x_enwacto_4,acc_x_enwacto_5,acc_x_enwacto_6,acc_x_enwacto_7,activity,name
7.737001252150381,4.41434854697847,6.778990881466578,8.582834331337326,1.7964071856287425,6.586826347305389,404.0,416.0,420.0,-269832.7728729512,-83522.94988021499,-633042.8218454773,8.982035928143713,1.996007984031936,6.786427145708583,0.3992015968063872,0.1996007984031936,0.1996007984031936,-0.8271662309345458,-0.7952763568022124,0.8481212631109267,111.81476995884584,5,0,10,14.055565886492476,79.51314337567462,32.31020469506098,183.94011870856227,512.7158848973211,541.9538103512232,-3.7397806922993473,76.22760306859348,-22.429383879588748,4.220529485542366,5.967081868891398,10.713186773359665,5,0,10,259.2707551671205,256.988931686266,318.86960741155974,6355.401787212394,38190.02913736533,11473.768824804056,45.82666528608832,78.44995762836284,69.80610620642067,6,6,6,3.474398972901796,3.474398972901796,3.474398972901796,2.8676537128979214,2.5295011108747434,2.33666170430981,120.3059226725504,366.6223840941601,137.91674198317762,1.1926188035943028,-0.962606011976179,-0.917021368284225,10.084281581515777,18.236136618479545,11.023207124125827,6,10,14,1.1947004502918006,-0.0595363876344855,-0.0122278845237183,-0.1305195506425748,1.174807058791928,-0.0208155638247269,-0.0047518023488358,-0.1528551889905406,1.1755497676915556,-0.0267915494302082,-0.0372547005326023,-0.1154721114237439,1.674667570223981,-0.435760019425251,-0.3158975892164085,0.0740766189202338,1.6605648557916963,-0.3304008132646012,-0.3881726661718938,0.0566212537152567,1.733113850017081,-0.5885871308234886,-0.2364943793286605,0.0906400285229998,5.534738482560871,0.9931817400186352,1.046334788890522,0.059327182463417,0.1671433079109749,0.0186898108650922,0.0046271788625871,50.42568444081246,1.7620853405961086,0.2359573343478381,0.2371640698904606,0.0531517550298154,0.0201027055805133,0.0180673070329685,4.299595520516645,3.276303258168777,1.6241795972426063,0.4640691458705041,0.3819707498572419,0.0335840130577473,0.0115653617994759,walking,user
4.736216797782899,1.1342938009066226,5.392378883762157,4.790419161676647,0.0,5.588822355289421,418.0,406.0,438.0,-516451.5159403563,66934.50655075564,-376435.1828676754,4.990019960079841,0.1996007984031936,6.586826347305389,0.1996007984031936,0.1996007984031936,0.998003992015968,-0.7133549643414513,0.9361078468992672,-0.8618442784655118,103.92169230807508,0,0,10,12.881672396159743,81.94319007110627,11.773211330651703,10.08279722173848,15.791023126369502,60.30255346737034,-12.484983453893769,81.84697242361095,-8.855863365420328,2.2591514301994167,3.377520293604661,5.844935606803549,0,0,10,204.99755992733452,183.5654271529876,369.7346725200504,6254.976710400778,41005.333184229086,4804.457951715819,11.831768376291985,14.328454101844471,28.15324614033114,6,6,6,3.474398972901796,3.474398972901796,3.474398972901796,2.3405996073020816,1.765705520084177,1.9369297545976845,396.2951988893087,494.4243803104943,183.19442399757452,0.6902763171891863,0.0766880038208593,-0.1345982168713773,19.14463209446676,22.16672241150547,13.039659637710338,5,10,15,1.750818768362248,-0.6929357463338254,-0.218953665799133,0.1396309321620322,2.1199032699696465,-0.452394833733827,-1.5928740504535668,0.926562634957634,2.2967264749580654,-1.869990947032966,0.6598427332335389,-0.0947998524586429,1.6703668836386278,-0.5782176687626779,-0.2433610782233007,0.1269487728004899,1.5863751599747564,-0.3485875292630723,-0.3127775096710991,0.0614216517347402,1.8898004465305516,-0.9630404521994752,-0.023868418853664,0.0856190007788178,7.325274494209927,1.9633703390305104,0.7438485345349531,0.0850320629546013,0.1766527229798493,0.0323276210394619,9.917327913821257e-05,47.10268168840289,2.403951630830073,0.3841697259098335,0.0568236764330384,0.1300344424388335,0.034995317575423,0.0038579956426445,5.418401702882378,5.104053436504367,1.1827896703152805,0.3918955699912782,0.3158786908782516,0.0495735793516255,0.0105431506844251,walking,user
4.916866985387951,1.2159835273813913,5.799734881671282,4.990019960079841,0.0,5.588822355289421,412.0,414.0,426.0,-481448.41872049926,64467.3331971544,-376890.5237760237,5.189620758483034,0.1996007984031936,6.586826347305389,0.1996007984031936,0.1996007984031936,0.998003992015968,-0.5651850775728612,0.7911069564149001,-0.8819432583135088,101.67966848763524,0,0,10,12.424457804353157,80.17370181339989,11.695789562060154,12.886574825580356,18.00104525932921,54.99292177766256,-11.895642000867811,80.06158471723303,-9.05032253642188,2.2472015224331,3.518417060123852,5.080313655437229,0,0,10,206.46663114037116,186.4479468524904,360.22413381374093,5959.716642434774,40110.85394333375,4870.943326536741,16.194015790922503,16.58362546647095,29.62832570071972,6,6,6,3.474398972901796,3.474398972901796,3.474398972901796,3.733062520109898,1.910600759939396,2.154845036309562,364.44616732166327,493.5971795925565,156.08484775927346,0.9379448222460284,0.1698069170119293,-0.1034349046868245,18.025365819658752,22.139463099270067,11.646305400264009,5,10,16,1.7362687292599055,-0.6756437662246914,-0.2413009025962582,0.1629130465827704,6.558172491581739,-5.320727152413068,-5.004232795404137,4.84445496276854,2.0383145358234573,-1.154004366138856,-0.0764381399651644,0.1833874124322897,1.6276658771552197,-0.4910092456698731,-0.3150979229680783,0.1581144345165002,1.548917530519073,-0.2761864877646204,-0.3113431780191089,0.0249639135537864,1.8195503297177225,-0.8120550197030231,-0.1423161022394017,0.1218999956307786,6.147294068837402,0.8695131505861153,0.4344978285636925,0.0822488576026874,0.0917315536288137,0.1527293241761811,0.0202973489110827,45.93289683283975,2.798493342568402,0.646707082179516,0.0588677095313566,0.0989009491345593,0.0379341266142413,0.0119738774468516,5.244663178348444,3.298836437114484,0.0303887926578739,0.0261697656415398,0.2573372685563974,0.2294004486602689,0.0090672504878317,walking,user
3.785858815316628,1.6063087646273464,4.58425675644658,2.9940119760479043,0.0,3.992015968063872,386.0,442.0,460.0,-604845.887227722,84477.27353765104,-402679.9543239336,3.193612774451098,0.1996007984031936,4.590818363273453,0.1996007984031936,0.1996007984031936,0.5988023952095809,-0.5722775743674864,0.7861391500520412,-0.871419311704943,104.77380986705424,0,0,8,15.542655456865855,79.30773172040263,12.261483669842544,12.68290112261728,21.25466027342062,54.87140407899526,-15.1299885228022,79.17388505582848,-9.776609916911738,1.7691156261871566,3.451318008543211,5.013954858146839,0,0,8,195.29559963097768,196.68629447449663,386.2480568817569,7580.124249923902,39666.11641297007,5245.438080500183,17.324665296926643,19.27515036364936,30.61401481102323,6,6,6,3.474398972901796,3.474398972901796,3.474398972901796,3.774711088224061,2.158777343126973,2.2869827554919837,408.5332341356848,492.5421948799916,151.43223112088685,1.0096572819126344,0.2403199435540807,0.0806033859661689,19.4122168530542,22.103807048881585,11.268305657362063,5,10,16,1.8488879143844357,-0.7229435864635347,-0.4215022399586852,0.2842625504376527,1.8039888754550504,-0.6311093745785414,-0.2811102983477923,0.0992997149951175,3.415785652274681,-4.85212116502736,3.4484955595879216,-1.0181367520887228,1.596224957525309,-0.427864800625493,-0.3284891214924564,0.1414029994767184,1.5805998497122251,-0.3031100325441706,-0.3057388209683951,0.0160086619874916,1.7951336869323045,-0.7768982471414043,-0.1555076118194746,0.1241614376063604,8.32177776339151,1.0919244269916306,0.0772284474129854,0.3446011218420182,0.059869437695279,0.0311472062722437,0.0203221859482451,44.926373800553606,1.0903933153200789,0.5184552436248158,0.2830541992709988,0.0619411020513035,0.0001334983232214,0.0023471951996053,6.031394271803095,1.5651181606702058,0.5986813523641482,0.6328192874198085,0.0981596785373385,0.0521306704361269,0.0046145653813623,walking,user
4.223252137017052,1.1757159328620097,5.149566410382683,3.992015968063872,0.0,4.1916167664670665,378.0,444.0,456.0,-519343.7015597048,73793.86727718348,-378633.3803798135,4.191616766467066,0.1996007984031936,5.189620758483034,0.1996007984031936,0.1996007984031936,0.998003992015968,-0.6792670694206732,0.9362274196468908,-0.8397938893944417,102.79457059892748,2,0,10,13.455414362542657,79.70855641327766,12.256423020867544,15.218917392066528,19.3657326967626,67.25475222187293,-12.878650370138768,79.58722816475631,-9.11588690512218,2.0129208919978137,3.746442624253092,6.136930457012717,2,0,10,216.54506968675315,200.72246529554303,388.3973970380342,6452.675908282424,39873.201310542914,5174.202651237346,17.604276100025757,15.458615917815225,32.0502508265665,6,6,6,3.474398972901796,3.474398972901796,3.474398972901796,3.510036404743207,1.7471934622622742,2.045588175322896,363.84385433306704,493.1297413285386,170.9354722775857,1.1376720211884763,0.0698342876595996,0.1329638815734847,18.11260337678192,22.124097140745143,12.284220720708012,5,10,15,1.7675055847007424,-0.5261938075472056,-0.5524606373525411,0.2945468522602865,1.402523331660696,-0.1443547400192961,-0.173919995270906,-0.1023698095829883,1.6772614277175832,-0.5252387311575704,-0.2873361161688997,0.1202280424561698,1.659171286843026,-0.40286904154761,-0.5047151663710133,0.2279786834021956,1.572371166677879,-0.3458772426097127,-0.2249427427735159,-0.0154503364358071,1.8136325449507351,-0.7039955112678146,-0.313131001975158,0.1920529890863859,7.18828854455066,1.7006309309971654,0.5324571795094358,0.2047253434854249,0.063952631110382,0.0148989581894322,0.0116210001240475,44.9699382662625,3.045344896097523,1.356714643166549,0.0914603801799353,0.120550787203335,0.0107810606175874,0.0064935479896025,4.570774841475433,4.670258848018119,2.248919429812112,0.1912468538060008,0.0550929834654684,0.042173806134082,0.0131788963109719,walking,user
4.481232717092597,1.835795470414865,6.321702041880259,4.590818363273454,0.0,6.586826347305389,408.0,438.0,468.0,-521835.5601309191,68992.6929166382,-361351.387395325,4.790419161676647,0.1996007984031936,7.584830339321357,0.1996007984031936,0.1996007984031936,0.998003992015968,-0.7310648220609652,0.9333965266379448,-0.8700233519887817,101.7080045684907,0,0,12,13.44503666029321,79.276335595666,11.632876138115764,11.33745138671465,21.411162012283324,59.36170714741391,-13.017457088594544,79.14144906630594,-8.72241861749028,2.213293574500652,3.9648911101892415,5.678323213948615,0,0,12,218.18340701185983,210.22256756356552,407.0515632231333,6521.746001385867,39649.86598221928,4784.09830520868,14.420368934152298,17.32936559089123,28.758728116584575,6,6,6,3.474398972901796,3.474398972901796,3.474398972901796,2.943844043712161,1.822111935419147,2.0219142724997345,394.05159881040487,492.4670014485778,169.22353715628302,0.8944977649098896,0.1087346128990281,-0.0951856100144495,19.03270292304706,22.103453922992188,12.242748050831011,5,10,15,1.7189806816804667,-0.5354002618044522,-0.4569940650291186,0.25327945437165,1.4952862498309334,-0.1670496560770872,-0.3557815528351137,0.0124781606228325,1.6490948469470874,-0.5065424020510327,-0.2859439781500545,0.1274772588626273,1.6539895908931204,-0.481436973929541,-0.3966094101393089,0.2009633461036708,1.5452353445571425,-0.2456244609385454,-0.3334854695597732,0.0194879263974872,1.8058932692440628,-0.7434750973686242,-0.240060097145432,0.165060837837365,6.928010495190159,1.682241822011136,0.5814519544629874,0.0911546269393102,0.0111098993040742,0.0170825076322082,0.0215723257189501,44.11174449347302,2.966877951661711,0.3146053926001342,0.0358671371370688,0.0339237570022187,0.0068538537082274,0.0114092250986711,3.392549777448304,4.952646825614906,0.2300731549906659,0.1728397684255899,0.0816711451371546,0.0409740071630067,0.0108575797349934,walking,user
5.099545527821864,1.6327828101434472,5.788291000419753,4.990019960079841,0.1996007984031936,5.189620758483034,412.0,408.0,460.0,-535047.3279754652,75519.52569556383,-369168.7038959614,5.189620758483034,0.3992015968063872,6.187624750499002,0.1996007984031936,0.1996007984031936,0.998003992015968,-0.6890953867571067,0.9330251778551176,-0.8412646302461572,100.94688812605004,0,0,15,14.10098782023951,77.54303917166615,12.083890812784336,12.289572569754007,18.725652223986327,62.486730891139565,-13.65916597094268,77.4224427947472,-9.146497160001138,2.0331758301186,2.9383865857606537,5.622438692215189,0,0,15,215.62024150392543,213.6301355750566,421.3245207267375,6843.242151442282,38788.64384016835,4942.504959540407,12.267748883050103,17.584186711681653,29.251896055573365,6,6,6,3.474398972901796,3.474398972901796,3.474398972901796,2.254087562679704,2.18753925846352,2.083686382576893,396.0329051242596,493.07068468746974,144.38946653503731,0.7427041095100169,0.4701427033454102,-0.1512114674309191,19.05232579419739,22.12132106192737,11.102434420561934,5,11,16,1.6207229317817458,-0.4887838014164562,-0.247356129457909,0.0872343252640319,1.946128006508256,-0.6759474943526638,-0.655209429402494,0.3780493475749333,1.9124068148873103,-0.9285852768961166,-0.1474880215239827,0.1503141416790476,1.6906690413588172,-0.5749796819338506,-0.2665867164244572,0.1265805662414189,1.6560597727473472,-0.4368456613033883,-0.3161378146165479,0.0825756175250755,1.8557906310500816,-0.8274275884714596,-0.1961687181394379,0.1536808994973213,7.990897249583044,0.8538659888522167,1.0553269813166792,0.6757365072660563,0.0466695149219616,0.0393188883004291,0.0024930925227994,44.5263221950472,1.1165782321609865,0.0952277285628623,0.0561928010797826,0.0285725166420762,0.0241578028664757,0.0051445939401027,4.719012591100251,2.0272716846813803,1.5205272047983287,1.274234041779421,0.2142582383872183,0.0841754257873037,0.0087395719188169,walking,user
5.420766236512257,1.2171395602260011,5.796056920256735,5.588822355289421,0.0,5.189620758483034,378.0,430.0,464.0,-542539.1179267941,76013.67648337207,-381247.7163328042,5.788423153692615,0.1996007984031936,6.187624750499002,0.1996007984031936,0.1996007984031936,0.998003992015968,-0.7017188745609756,0.9350180074915312,-0.8628211158024272,102.33672862965044,0,0,11,14.054335099682676,78.7633313615141,12.145285673532271,11.430011881754783,17.472467072849028,60.79870651083224,-13.64247549410997,78.65255733461312,-9.318294494406729,2.0766495994568483,3.101932148094747,5.550087558482296,0,0,11,213.00562768919053,195.86818929686305,400.2531814445964,6834.880222549095,39404.93122464117,5030.88959626465,14.655754157406824,15.476817418352296,30.46810776705364,6,6,6,3.474398972901796,3.474398972901796,3.474398972901796,3.13037825913417,1.9028104834721808,2.0999005820767414,401.8952010475502,493.6042513539544,146.83897729496357,0.9536346670944856,0.3109369079480437,-0.0570858909544304,19.23316727894069,22.13835344749667,11.224748040278014,5,10,16,1.6064123556833545,-0.5036363671835724,-0.2371551811181293,0.1051051945720368,1.514217801407303,-0.2790141117589427,-0.2424230275458258,-0.0091159661297016,1.8085543167473648,-0.7388479363580767,-0.2611531556249321,0.1789918486005658,1.713331662390368,-0.5663791896280961,-0.3886206454682085,0.2183889716530103,1.6057505401095709,-0.3468962540125929,-0.3341271498804106,0.0610831786229899,1.8274085924687355,-0.7735949882476892,-0.2354184989797314,0.1690819700711795,8.327669758491826,1.582130353915303,0.3924034243479168,0.0160068550466306,0.222604728238638,0.1555818037130052,0.0141695256144395,45.40368880824436,1.8505089298577009,0.4233411060557479,0.1657575069996659,0.1743304967020908,0.0619691596014037,0.0045767290843513,6.4785953174975806,4.030418161640723,0.2858244295567538,0.2385914902371654,0.2856549437930847,0.2491808698617789,0.0199287642124041,walking,user
4.330218813267687,1.6600350147671237,4.803964166166226,4.391217564870259,0.0,4.1916167664670665,406.0,434.0,462.0,-533429.2590204526,73459.4286142603,-349683.4176474601,4.590818363273453,0.1996007984031936,5.189620758483034,0.1996007984031936,0.1996007984031936,0.998003992015968,-0.679797260010174,0.9482264019625416,-0.8117110625254883,100.67126287119136,0,0,10,14.15820323020501,77.36238135400389,11.678537107821814,14.16581966636625,15.756155161708218,60.64777790827172,-13.649804911813794,77.26068432917303,-8.709851004432744,2.46114398447415,2.8669604327274243,5.188276913176205,0,0,10,242.28779366817236,205.4325106294076,424.4890181311188,6838.552260818711,38707.60284891569,4890.147588732527,14.521679858740615,15.7107347181542,28.848704607246287,6,6,6,3.474398972901796,3.474398972901796,3.474398972901796,2.766666735910079,2.11261501925567,2.155109763872185,382.3012440666691,493.96634901967326,154.24631978459274,0.8667784012454572,0.1458312318490403,-0.038882823530869,18.6662329736625,22.15076166849771,11.63729127581056,5,10,15,1.9540536195804517,-0.945731830137021,-0.2783676311216702,0.2552100332636811,1.7080444774715835,-0.3011495970037304,-0.7007491896949888,0.2821534022145134,2.153295068435616,-0.5788930341740666,-1.556407214787407,0.9864440127156596,1.698466307258948,-0.5574844374194536,-0.3530032680798071,0.1886950973987555,1.5370196076672866,-0.229510287998348,-0.3702685937923137,0.0452257493883302,1.837295856816773,-0.7436416458885365,-0.327239352781239,0.2205029323140241,8.281922732789798,0.2867364414576964,0.5648030258459151,0.7359122318054804,0.1642439415392701,0.0272455933478103,0.0100985321423094,44.12448096336088,0.2514933323761426,0.0936617735382205,0.1332772928532425,0.0831486482053634,0.0370617206838755,0.0078056310691777,5.956562926072984,0.2668465579567315,1.3880119688394903,1.045906315688153,0.2686227141642754,0.08890781069909,0.0213410209279741,walking,user
4.645388231355295,1.33243042762739,6.0437017252955725,4.391217564870259,0.0,5.588822355289421,408.0,428.0,470.0,-539340.8420562646,74785.82040059162,-363954.8403121024,4.590818363273453,0.1996007984031936,6.586826347305389,0.1996007984031936,0.1996007984031936,0.998003992015968,-0.6660124408042958,0.94207473924617,-0.8132880595308284,101.88782860592886,0,0,10,14.1277024971828,78.35917538088582,11.852509334368728,13.918673025637576,16.827071049537658,60.45099458333636,-13.627218593893392,78.25194491059655,-8.952745031876688,2.0199901972679903,3.218589956950225,5.643159799866955,0,0,10,239.6129193859097,196.41959821651136,431.03749984743246,6827.23651554059,39204.22440020887,5014.341215820851,14.419284988636145,17.075506654409992,28.97945826714284,6,6,6,3.474398972901796,3.474398972901796,3.474398972901796,2.7757327613665823,1.9903098973557176,2.0825472503888287,383.8169065451943,493.7215493135837,151.38435674673306,0.9685282209714096,0.2432984450358584,0.0697520215641845,18.67161325173389,22.14335013334236,11.43761493302106,5,10,15,1.7028241702902054,-0.3990721371305319,-0.6476659261144947,0.3231648722106875,1.5040941128217076,-0.0138773078918785,-0.7149319125615777,0.2120814608048572,1.7473000283205078,-0.6408726309065959,-0.269393799286209,0.1464519410516561,1.6352453666715407,-0.3492267802064929,-0.5688284969419606,0.2585543032092742,1.4969974691834709,-0.0471938309886241,-0.6255770396725494,0.1620672742485585,1.8733006501473957,-0.8639110920606482,-0.1679503623162854,0.1444561263421903,7.955701525792884,1.317914032207666,0.7745049747468851,0.6581074802410825,0.068880616848823,0.0037003179617274,0.0071686557000649,44.5108080109463,1.7254797872661083,1.0721143490394356,0.047656260299371,0.0303262321917287,0.0007078565451966,0.0031299269204114,5.592602496055894,2.770262543018696,2.481804449706772,0.8214257171976963,0.0179621344184831,0.049389462165436,0.0116221883637921,walking,user
