,time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2
42,1683470593256390100,-8.511487277948149,-195.23030522044633,-377.1201337346218,424.74334928303506,-8.511487277948149,-4.52517783035649,-0.3305832428372058,-8.511487277948149,-4.52517783035649,-0.3305832428372058,-195.23030522044633,-197.1557939281723,-199.0082070353541
43,1683470593266390100,-12.032876581452438,-193.69801467094834,-375.09590337634336,422.3276544769553,-12.032876581452438,-8.511487277948149,-4.52517783035649,-12.032876581452438,-8.511487277948149,-4.52517783035649,-193.69801467094834,-195.23030522044633,-197.1557939281723
44,1683470593276390100,-15.61320600747415,-191.72797964258805,-372.6048801552353,419.33016478087734,-15.61320600747415,-12.032876581452438,-8.511487277948149,-15.61320600747415,-12.032876581452438,-8.511487277948149,-191.72797964258805,-193.69801467094834,-195.23030522044633
45,1683470593286390100,-17.9813890367837,-189.60193014117854,-369.52551950964136,415.7178512330483,-17.9813890367837,-15.61320600747415,-12.032876581452438,-17.9813890367837,-15.61320600747415,-12.032876581452438,-189.60193014117854,-191.72797964258805,-193.69801467094834
46,1683470593296390100,-20.481432954776345,-187.45301905919428,-367.6114748190327,413.1541115236686,-20.481432954776345,-17.9813890367837,-15.61320600747415,-20.481432954776345,-17.9813890367837,-15.61320600747415,-187.45301905919428,-189.60193014117854,-191.72797964258805
47,1683470593306390100,-22.042312543290592,-185.3467913134987,-365.28094864497996,410.2066162745821,-22.042312543290592,-20.481432954776345,-17.9813890367837,-22.042312543290592,-20.481432954776345,-17.9813890367837,-185.3467913134987,-187.45301905919428,-189.60193014117854
48,1683470593316390100,-24.00349272585618,-183.46945661647644,-362.70032783925353,407.17163087436154,-24.00349272585618,-22.042312543290592,-20.481432954776345,-24.00349272585618,-22.042312543290592,-20.481432954776345,-183.46945661647644,-185.3467913134987,-187.45301905919428
49,1683470593326390100,-25.082065022053477,-181.5854487635834,-359.9707665084099,403.9570991195657,-25.082065022053477,-24.00349272585618,-22.042312543290592,-25.082065022053477,-24.00349272585618,-22.042312543290592,-181.5854487635834,-183.46945661647644,-185.3467913134987
50,1683470593336390100,-26.4198019764092,-179.61798374494273,-358.04971340195345,401.44765946296434,-26.4198019764092,-25.082065022053477,-24.00349272585618,-26.4198019764092,-25.082065022053477,-24.00349272585618,-179.61798374494273,-181.5854487635834,-183.46945661647644
51,1683470593346390100,-26.9847756902288,-178.10341844061176,-355.9011687670071,398.8917744313679,-26.9847756902288,-26.4198019764092,-25.082065022053477,-26.9847756902288,-26.4198019764092,-25.082065022053477,-178.10341844061176,-179.61798374494273,-181.5854487635834
