,time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2
0,1683467026560318000,0.980661145377474,-2.36942684244522,1.7575418840762045,3.1088315036417007,0.980661145377474,,,-2.36942684244522,,,1.7575418840762045,,
1,1683467026570318000,0.965506050105329,-2.2253206980004974,1.94048801248371,3.106404331108942,0.965506050105329,0.980661145377474,,-2.2253206980004974,-2.36942684244522,,1.94048801248371,1.7575418840762045,
2,1683467026580318000,0.9386079530170555,-2.2957870092056964,1.6508574912647165,2.9794216448111763,0.9386079530170555,0.965506050105329,0.980661145377474,-2.2957870092056964,-2.2253206980004974,-2.36942684244522,1.6508574912647165,1.94048801248371,1.7575418840762045
3,1683467026590318000,0.909885408436275,-2.5977532472707043,1.3381267130868342,3.060522257796422,0.909885408436275,0.9386079530170555,0.965506050105329,-2.5977532472707043,-2.2957870092056964,-2.2253206980004974,1.3381267130868342,1.6508574912647165,1.94048801248371
4,1683467026600318000,0.833866908059948,-3.0707018865983726,1.4816963968743646,3.509981240580459,0.833866908059948,0.909885408436275,0.9386079530170555,-3.0707018865983726,-2.5977532472707043,-2.2957870092056964,1.4816963968743646,1.3381267130868342,1.6508574912647165
5,1683467026610318000,0.8612952005258817,-3.3402118093054947,1.9027172719727226,3.939438712625966,0.8612952005258817,0.833866908059948,0.909885408436275,-3.3402118093054947,-3.0707018865983726,-2.5977532472707043,1.9027172719727226,1.4816963968743646,1.3381267130868342
6,1683467026620318000,0.8734858109598457,-3.8310223561373573,2.2642589595448457,4.535038962462342,0.8734858109598457,0.8612952005258817,0.833866908059948,-3.8310223561373573,-3.3402118093054947,-3.0707018865983726,2.2642589595448457,1.9027172719727226,1.4816963968743646
7,1683467026630318000,1.011688210533062,-4.615443149099183,2.511692291319016,5.351114525420806,1.011688210533062,0.8734858109598457,0.8612952005258817,-4.615443149099183,-3.8310223561373573,-3.3402118093054947,2.511692291319016,2.2642589595448457,1.9027172719727226
8,1683467026640318000,1.405901752089147,-5.637933414260305,2.8831343367729128,6.4865488916710685,1.405901752089147,1.011688210533062,0.8734858109598457,-5.637933414260305,-4.615443149099183,-3.8310223561373573,2.8831343367729128,2.511692291319016,2.2642589595448457
9,1683467026650318000,1.8065445830805575,-6.6363844894067325,3.318186023607678,7.636462591354802,1.8065445830805575,1.405901752089147,1.011688210533062,-6.6363844894067325,-5.637933414260305,-4.615443149099183,3.318186023607678,2.8831343367729128,2.511692291319016
10,1683467026660318000,2.208613299338884,-7.222364505118843,3.803781967568029,8.456315924066038,2.208613299338884,1.8065445830805575,1.405901752089147,-7.222364505118843,-6.6363844894067325,-5.637933414260305,3.803781967568029,3.318186023607678,2.8831343367729128
