,time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2
36,1683472978739798300,-93.64639263526497,-0.45396526027796763,-368.1637884648793,379.887388675734,-93.64639263526497,-95.78470836415086,-98.39537227629512,-93.64639263526497,-95.78470836415086,-98.39537227629512,-0.45396526027796763,-2.3716381186565108,-4.177013540944896
37,1683472978749798300,-91.74881663393519,1.4938825915442409,-366.11638359177937,377.44043685493966,-91.74881663393519,-93.64639263526497,-95.78470836415086,-91.74881663393519,-93.64639263526497,-95.78470836415086,1.4938825915442409,-0.45396526027796763,-2.3716381186565108
38,1683472978759798300,-90.35341397705172,3.96476166612888,-364.4059719576967,375.4612778314314,-90.35341397705172,-91.74881663393519,-93.64639263526497,-90.35341397705172,-91.74881663393519,-93.64639263526497,3.96476166612888,1.4938825915442409,-0.45396526027796763
39,1683472978769798300,-89.54827961221058,6.583488118506147,-361.93750391985833,372.90882725010766,-89.54827961221058,-90.35341397705172,-91.74881663393519,-89.54827961221058,-90.35341397705172,-91.74881663393519,6.583488118506147,3.96476166612888,1.4938825915442409
40,1683472978779798300,-89.22856846824897,9.282929389121557,-361.02626455560653,372.00520682903243,-89.22856846824897,-89.54827961221058,-90.35341397705172,-89.22856846824897,-89.54827961221058,-90.35341397705172,9.282929389121557,6.583488118506147,3.96476166612888
41,1683472978789798300,-88.9685055051329,11.417615319233862,-360.2411220773263,371.24038431577725,-88.9685055051329,-89.22856846824897,-89.54827961221058,-88.9685055051329,-89.22856846824897,-89.54827961221058,11.417615319233862,9.282929389121557,6.583488118506147
42,1683472978799798300,-88.84306360463432,13.56457974130209,-359.61939950367406,370.6793766499539,-88.84306360463432,-88.9685055051329,-89.22856846824897,-88.84306360463432,-88.9685055051329,-89.22856846824897,13.56457974130209,11.417615319233862,9.282929389121557
43,1683472978809798300,-88.7296668779395,15.722327889928303,-359.396287584233,370.5210343663059,-88.7296668779395,-88.84306360463432,-88.9685055051329,-88.7296668779395,-88.84306360463432,-88.9685055051329,15.722327889928303,13.56457974130209,11.417615319233862
44,1683472978819798300,-88.66759997481324,17.559283230435902,-359.03641764726666,370.23968035563485,-88.66759997481324,-88.7296668779395,-88.84306360463432,-88.66759997481324,-88.7296668779395,-88.84306360463432,17.559283230435902,15.722327889928303,13.56457974130209
45,1683472978829798300,-88.95366959394214,18.893358971441653,-358.7216035433744,370.06878170980843,-88.95366959394214,-88.66759997481324,-88.7296668779395,-88.95366959394214,-88.66759997481324,-88.7296668779395,18.893358971441653,17.559283230435902,15.722327889928303
