time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2,jerkMag,jerkX,jerkY,jerkZ,activity,name
1672835408455100200,-1.1986205025884462,-0.1075734908997012,-0.1075734908997012,1.2082364094472884,-1.1986205025884462,,,-0.1075734908997012,,,-0.1075734908997012,,,0.0088075862528767,0.0075151466639455,0.0006462197944656,0.0006462197944656,downstairs,karol
1672835408465100200,-1.3212185993432128,-0.1435240067364901,-0.1435240067364901,1.3367186945164766,-1.3212185993432128,-1.1986205025884462,,-0.1435240067364901,-0.1075734908997012,,-0.1435240067364901,-0.1075734908997012,,0.0024035213205589,0.0007055953516699,0.0008489629844444,0.0008489629844444,downstairs,karol
1672835408475100200,-1.358784417627125,-0.1847299039951224,-0.1847299039951224,1.3836709755019003,-1.358784417627125,-1.3212185993432128,-1.1986205025884462,-0.1847299039951224,-0.1435240067364901,-0.1075734908997012,-0.1847299039951224,-0.1435240067364901,-0.1075734908997012,0.003774544373029,0.0014718067836925,0.0011513687946682,0.0011513687946682,downstairs,karol
1672835408485100200,-1.304529338902779,-0.2327167520822447,-0.2327167520822447,1.345403645549372,-1.304529338902779,-1.358784417627125,-1.3212185993432128,-0.2327167520822447,-0.1847299039951224,-0.1435240067364901,-0.2327167520822447,-0.1847299039951224,-0.1435240067364901,0.0043614801919139,0.0017211670058431,0.0013201565930354,0.0013201565930354,downstairs,karol
1672835408495100200,-1.2458579317977307,-0.2841007299943414,-0.2841007299943414,1.3090410367096803,-1.2458579317977307,-1.304529338902779,-1.358784417627125,-0.2841007299943414,-0.2327167520822447,-0.1847299039951224,-0.2841007299943414,-0.2327167520822447,-0.1847299039951224,0.0042692328922328,0.0008920001600713,0.0016886163660807,0.0016886163660807,downstairs,karol
1672835408505100200,-1.2036205038440464,-0.3422146933092065,-0.3422146933092065,1.2972756491614357,-1.2036205038440464,-1.2458579317977307,-1.304529338902779,-0.3422146933092065,-0.2841007299943414,-0.2327167520822447,-0.3422146933092065,-0.2841007299943414,-0.2327167520822447,0.0011869756683227,3.4889452978633665e-05,0.000576043107672,0.000576043107672,downstairs,karol
1672835408515100200,-1.1952671269246642,-0.3761570888543669,-0.3761570888543669,1.3083011181289748,-1.1952671269246642,-1.2036205038440464,-1.2458579317977307,-0.3761570888543669,-0.3422146933092065,-0.2841007299943414,-0.3761570888543669,-0.3422146933092065,-0.2841007299943414,0.0005862254597783,0.0003436152237785,0.0001213051179999,0.0001213051179999,downstairs,karol
1672835408525100200,-1.2214822074615812,-0.3917330394192546,-0.3917330394192546,1.3412413397634717,-1.2214822074615812,-1.1952671269246642,-1.2036205038440464,-0.3917330394192546,-0.3761570888543669,-0.3422146933092065,-0.3917330394192546,-0.3761570888543669,-0.3422146933092065,0.0018930952055308,0.0013939946334518,0.0002495502860394,0.0002495502860394,downstairs,karol
1672835408535100200,-1.2742836209550072,-0.4140735983218188,-0.4140735983218188,1.40239532097357,-1.2742836209550072,-1.2214822074615812,-1.1952671269246642,-0.4140735983218188,-0.3917330394192546,-0.3761570888543669,-0.4140735983218188,-0.3917330394192546,-0.3761570888543669,0.0073340921433138,0.0064603746785826,0.0004368587323656,0.0004368587323656,downstairs,karol
1672835408545100200,-1.3879530951209649,-0.4436323104847536,-0.4436323104847536,1.5231654696939354,-1.3879530951209649,-1.2742836209550072,-1.2214822074615812,-0.4436323104847536,-0.4140735983218188,-0.3917330394192546,-0.4436323104847536,-0.4140735983218188,-0.3917330394192546,0.010858787497897,0.0106851694837111,8.68090070929756e-05,8.68090070929756e-05,downstairs,karol
