,time,q0,q1,q2,q3
0,1683473114891669500,0.18167970768372035,-0.08928895326225314,0.061000235619650005,-0.018918883119473248
1,1683473114901669500,0.18200954210229608,-0.08979246524584712,0.05909301204899075,-0.019540498172787232
2,1683473114911669500,0.18239185891059445,-0.09029356303763082,0.05692672524158055,-0.020237510028093406
3,1683473114921669500,0.18275294287418928,-0.09088118202349604,0.05456326540988717,-0.02101435753437965
4,1683473114931669500,0.18302396660829037,-0.0916900432487534,0.0520014164287449,-0.021810998080896322
5,1683473114941669500,0.18313383103896744,-0.09284329217250921,0.049267397004030725,-0.02255288883270413
6,1683473114951669500,0.1830594517363408,-0.09436107955009207,0.04644711178992634,-0.023061435006405635
7,1683473114961669500,0.1828067526076618,-0.09615949376803536,0.04377726356193851,-0.023077555525440396
8,1683473114971669500,0.18252370266703083,-0.09805052934777589,0.04100650766629236,-0.022690304895663503
9,1683473114981669500,0.18226157231438847,-0.0999280596920762,0.03813642768227173,-0.021867770913858307
10,1683473114991669500,0.18206869198910564,-0.10168336178393178,0.0351734472214792,-0.02061870435773135
11,1683473115001669500,0.1820008766457493,-0.10320903414003801,0.03202497309898256,-0.019062524362438223
12,1683473115011669500,0.1820844325310349,-0.10443816368812509,0.028648272880058532,-0.01728118721508749
13,1683473115021669500,0.1822927603744928,-0.10537473160788619,0.025104542169169436,-0.015299156934478005
14,1683473115031669500,0.1825895766268069,-0.10603430783411759,0.021501294411240122,-0.013130285786746427
15,1683473115041669500,0.1829802474411381,-0.1063953224068388,0.017901975257717716,-0.01067227091453457
16,1683473115051669500,0.18340152047357114,-0.10655524595528142,0.014095305130040836,-0.008234776255734877
17,1683473115061669500,0.18379626508559968,-0.10656858403939794,0.010215297531910774,-0.005906266417919651
18,1683473115071669500,0.18413178338374564,-0.10648028178074324,0.006371764712098304,-0.003701480845142795
19,1683473115081669500,0.18441598628930675,-0.10628972146609943,0.0026086743881632065,-0.001516363027313089
20,1683473115091669500,0.18467136598994693,-0.10596985836538426,-0.001115843510396404,0.0007445279170250881
21,1683473115101669500,0.18489990572541012,-0.1055145063311442,-0.004876094290797892,0.0031324848814840447
22,1683473115111669500,0.18509647428025244,-0.10491864115508875,-0.008639001567960096,0.005700976740348578
23,1683473115121669500,0.1852765305495444,-0.1041441884385621,-0.012347738185943145,0.008450437470624267
24,1683473115131669500,0.18546705364658106,-0.10314636600466677,-0.01597045648865211,0.011247137989187911
25,1683473115141669500,0.18568041049122458,-0.10191358420798112,-0.019568543426414384,0.013908990846724433
26,1683473115151669500,0.18590366562986446,-0.1004758796742033,-0.023206786910640594,0.016342162323536212
27,1683473115161669500,0.18613276041690216,-0.09886425596798154,-0.02681032002953765,0.01853592925091124
28,1683473115171669500,0.18638725835870595,-0.09707469061870518,-0.03027288743622699,0.020531620765299876
29,1683473115181669500,0.18671166280722776,-0.09502296872748969,-0.03357846960874983,0.022431005786592594
30,1683473115191669500,0.18715715130062235,-0.09260926269443524,-0.03672624982925639,0.02425632721713207
31,1683473115201669500,0.18774865330679166,-0.08978022223218558,-0.039702721082349596,0.026010920147293098
32,1683473115211669500,0.18847733496943095,-0.08651719641848511,-0.04262441987955615,0.02758729166392945
33,1683473115221669500,0.18925740772322353,-0.08293742856877573,-0.04564938041183926,0.028857964992705546
34,1683473115231669500,0.18992954646070498,-0.079278074715142,-0.04896978465531972,0.02977736440783181
35,1683473115241669500,0.19034686520256996,-0.0757821864548477,-0.0526941758365218,0.030374417551152187
36,1683473115251669500,0.190407664159579,-0.07264845154062366,-0.05685653853565114,0.0306785670212764
37,1683473115261669500,0.19005127827764018,-0.0700423575132787,-0.06142085946568999,0.03069878324559161
38,1683473115271669500,0.18935878162018582,-0.06806197384812566,-0.06598600988884673,0.030468517919425054
39,1683473115281669500,0.18848867871990932,-0.06664397837619995,-0.07016091846189466,0.030095015795526942
40,1683473115291669500,0.18759572661168353,-0.06552867440394912,-0.07382960467931417,0.029691815273193378
41,1683473115301669500,0.1867496923275193,-0.06434137877976123,-0.07719787222886589,0.029367197584837867
