time,q0,q1,q2,q3,activity,name
1674889792548584700,0.1645636392709561,0.0173010480128626,0.0285498247258307,0.2113969755831963,downstairs,kuba
1674889792558584700,0.1624514720884633,0.0176295435762157,0.0282851991904783,0.2130328315931042,downstairs,kuba
1674889792568584700,0.1603500614047652,0.0178162324563791,0.027939026715291,0.2146490604735454,downstairs,kuba
1674889792578584700,0.1583053753336641,0.01776673070669,0.0274567495030748,0.2162277537628492,downstairs,kuba
1674889792588584700,0.1562602291215976,0.0175767131492083,0.0269424434060882,0.2177906975778675,downstairs,kuba
1674889792598584700,0.154175841073995,0.0173582011089682,0.0264881102946309,0.219344642054184,downstairs,kuba
1674889792608584700,0.1520265366856767,0.0172133844819469,0.0261369468607069,0.2208933537358934,downstairs,kuba
1674889792618584700,0.1498245013127094,0.0171322909667722,0.0258494439863024,0.2224329572405196,downstairs,kuba
1674889792628584700,0.1475989951110602,0.0170486271543741,0.0255825010351812,0.2239532360824695,downstairs,kuba
1674889792638584700,0.1453525666525746,0.0169283545586041,0.0253159145235888,0.2254572027528208,downstairs,kuba
1674889792648584700,0.1430900017094684,0.0167543744680942,0.0250331349861052,0.226944620102124,downstairs,kuba
1674889792658584700,0.1408092382094109,0.0165297387030035,0.0247351477457074,0.2284160999272146,downstairs,kuba
1674889792668584700,0.1385076763351787,0.0162771157488977,0.0244451504126378,0.2298686433282377,downstairs,kuba
1674889792678584700,0.136174587421996,0.0160367248957555,0.0241815199043793,0.2313034454831204,downstairs,kuba
1674889792688584700,0.1337974780974104,0.0158233779392856,0.0239644889603568,0.2327240811804873,downstairs,kuba
1674889792698584700,0.1313732924979802,0.0156051745051634,0.0237788050519258,0.2341351414869164,downstairs,kuba
1674889792708584700,0.1289122645436813,0.0153429495163899,0.0235918645213921,0.2355357143746809,downstairs,kuba
1674889792718584700,0.1264063163996479,0.01503307381635,0.0233818814199156,0.2369314108600398,downstairs,kuba
1674889792728584700,0.1238673478746938,0.014699670252005,0.0231431875695647,0.2383134780558858,downstairs,kuba
1674889792738584700,0.1213229033086584,0.0143804118174329,0.0229011248996914,0.2396621784379677,downstairs,kuba
1674889792748584700,0.1188027582820608,0.0141744986573889,0.0227205603019098,0.2409511031521978,downstairs,kuba
1674889792758584700,0.1149666468021985,0.0142680161677301,0.0225879742236599,0.2428119106331651,downstairs,kuba
1674889792768584700,0.11739060097757,0.0139386454157187,0.0229545509024301,0.2416341286759291,downstairs,kuba
1674889792778584700,0.1211324366445806,0.0135755677228781,0.0234842972881642,0.2397499126432919,downstairs,kuba
1674889792788584700,0.1186098331691998,0.0138544015889035,0.0236939458740298,0.2409717439955103,downstairs,kuba
1674889792798584700,0.115996931042283,0.0141399953237375,0.023878471627498,0.2422060010452669,downstairs,kuba
1674889792808584700,0.1195750936101279,0.0137307223704571,0.0243424387227239,0.2404370271414823,downstairs,kuba
1674889792818584700,0.1169976424490265,0.0138526114722139,0.0243669478926315,0.241692420260359,downstairs,kuba
1674889792828584700,0.1206781541572393,0.0132718434939384,0.0246850462655153,0.2398763494337602,downstairs,kuba
