time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2,jerkMag,jerkX,jerkY,jerkZ,activity,name
1674934240566856700,-1.0761637471136754,-0.0427571799448,-0.0427571799448,1.0778611986129802,-1.0761637471136754,,,-0.0427571799448,,,-0.0427571799448,,,0.0004264219295693,0.0001722021123911,0.0001271099085891,0.0001271099085891,walking,michal
1674934240576856700,-1.0576056161522276,-0.0268129077074665,-0.0268129077074665,1.058285171093402,-1.0576056161522276,-1.0761637471136754,,-0.0268129077074665,-0.0427571799448,,-0.0268129077074665,-0.0427571799448,,0.0002996068522631,7.956364294494628e-05,0.000110021604659,0.000110021604659,walking,michal
1674934240586856700,-1.0702201825692668,-0.0119790542189703,-0.0119790542189703,1.070354256617199,-1.0702201825692668,-1.0576056161522276,-1.0761637471136754,-0.0119790542189703,-0.0268129077074665,-0.0427571799448,-0.0119790542189703,-0.0268129077074665,-0.0427571799448,0.0010137266440661,0.00101370807971,9.282178047798655e-09,9.282178047798655e-09,walking,michal
1674934240596856700,-1.1152470207818264,-0.012115305296381,-0.012115305296381,1.1153786256727305,-1.1152470207818264,-1.0702201825692668,-1.0576056161522276,-0.012115305296381,-0.0119790542189703,-0.0268129077074665,-0.012115305296381,-0.0119790542189703,-0.0268129077074665,0.0005446285306587,1.667002404979369e-07,0.0002722309152091,0.0002722309152091,walking,michal
1674934240606856700,-1.1146696123639834,-0.0354490111833228,-0.0354490111833228,1.115796401461944,-1.1146696123639834,-1.1152470207818264,-1.0702201825692668,-0.0354490111833228,-0.012115305296381,-0.0119790542189703,-0.0354490111833228,-0.012115305296381,-0.0119790542189703,0.001363242450421,0.0005448327247774,0.0004092048628217,0.0004092048628217,walking,michal
1674934240616856700,-1.0816595313347748,-0.0640568724393412,-0.0640568724393412,1.0854464093361702,-1.0816595313347748,-1.1146696123639834,-1.1152470207818264,-0.0640568724393412,-0.0354490111833228,-0.012115305296381,-0.0640568724393412,-0.0354490111833228,-0.012115305296381,0.0003658293540943,9.25010136197884e-05,0.0001366641702372,0.0001366641702372,walking,michal
1674934240626856700,-1.095261076366115,-0.0805895171302113,-0.0805895171302113,1.1011749025224022,-1.095261076366115,-1.0816595313347748,-1.1146696123639834,-0.0805895171302113,-0.0640568724393412,-0.0354490111833228,-0.0805895171302113,-0.0640568724393412,-0.0354490111833228,0.0024440648220021,0.0023120353334658,6.601474426811964e-05,6.601474426811964e-05,walking,michal
1674934240636856700,-1.1632615959739223,-0.0690991085849837,-0.0690991085849837,1.1673589483454845,-1.1632615959739223,-1.095261076366115,-1.0816595313347748,-0.0690991085849837,-0.0805895171302113,-0.0640568724393412,-0.0690991085849837,-0.0805895171302113,-0.0640568724393412,0.001694004959274,0.0016693305278257,1.2337215724146107e-05,1.2337215724146107e-05,walking,michal
1674934240646856700,-1.2210427438999676,-0.0641317721308775,-0.0641317721308775,1.2244064483757244,-1.2210427438999676,-1.1632615959739223,-1.095261076366115,-0.0641317721308775,-0.0690991085849837,-0.0805895171302113,-0.0641317721308775,-0.0690991085849837,-0.0805895171302113,0.0005387943440868,0.0003331171797094,0.0001028385821886,0.0001028385821886,walking,michal
1674934240656856700,-1.1952312278767103,-0.0784732213037256,-0.0784732213037256,1.2003723509874908,-1.1952312278767103,-1.2210427438999676,-1.1632615959739223,-0.0784732213037256,-0.0641317721308775,-0.0690991085849837,-0.0784732213037256,-0.0641317721308775,-0.0690991085849837,0.0002399914820995,5.253868452223276e-06,0.0001173688068236,0.0001173688068236,walking,michal
1674934240666856700,-1.191989663917069,-0.093794370531096,-0.093794370531096,1.199347375355354,-1.191989663917069,-1.1952312278767103,-1.2210427438999676,-0.093794370531096,-0.0784732213037256,-0.0641317721308775,-0.093794370531096,-0.0784732213037256,-0.0641317721308775,0.0002248287228568,0.0001357072893649,4.456071674594345e-05,4.456071674594345e-05,walking,michal
1674934240676856700,-1.175514999163882,-0.0843539556306858,-0.0843539556306858,1.181552661932742,-1.175514999163882,-1.191989663917069,-1.1952312278767103,-0.0843539556306858,-0.093794370531096,-0.0784732213037256,-0.0843539556306858,-0.093794370531096,-0.0784732213037256,0.0013213314398292,0.0010374805071043,0.0001419254663624,0.0001419254663624,walking,michal
1674934240686856700,-1.129963259194824,-0.0675060794225416,-0.0675060794225416,1.1339890249240483,-1.129963259194824,-1.175514999163882,-1.191989663917069,-0.0675060794225416,-0.0843539556306858,-0.093794370531096,-0.0675060794225416,-0.0843539556306858,-0.093794370531096,0.0027985082328649,0.0026423721594311,7.806803671686125e-05,7.806803671686125e-05,walking,michal
1674934240696856700,-1.0572670122568812,-0.0550106373161685,-0.0550106373161685,1.0601254056207003,-1.0572670122568812,-1.129963259194824,-1.175514999163882,-0.0550106373161685,-0.0675060794225416,-0.0843539556306858,-0.0550106373161685,-0.0675060794225416,-0.0843539556306858,0.0047173630871803,0.0046423478360908,3.75076255447633e-05,3.75076255447633e-05,walking,michal
1674934240706856700,-0.9609098865619866,-0.0463495028010183,-0.0463495028010183,0.9631429607863896,-0.9609098865619866,-1.0572670122568812,-1.129963259194824,-0.0463495028010183,-0.0550106373161685,-0.0675060794225416,-0.0463495028010183,-0.0550106373161685,-0.0675060794225416,0.0045255979398993,0.0045196556326158,2.971153641737258e-06,2.971153641737258e-06,walking,michal
1674934240716856700,-0.8658345939501221,-0.0487871876213908,-0.0487871876213908,0.8685792557002397,-0.8658345939501221,-0.9609098865619866,-1.0572670122568812,-0.0487871876213908,-0.0463495028010183,-0.0550106373161685,-0.0487871876213908,-0.0463495028010183,-0.0550106373161685,0.0042108799294746,0.0039910883124248,0.0001098958085248,0.0001098958085248,walking,michal
1674934240726856700,-0.7764915661032349,-0.0339618168992202,-0.0339618168992202,0.7779755537570874,-0.7764915661032349,-0.8658345939501221,-0.9609098865619866,-0.0339618168992202,-0.0487871876213908,-0.0463495028010183,-0.0339618168992202,-0.0487871876213908,-0.0463495028010183,0.004005528339634,0.0028289442619507,0.0005882920388416,0.0005882920388416,walking,michal
1674934240736856700,-0.7012726288340769,0.0003395544681649,0.0003395544681649,0.7012727932454893,-0.7012726288340769,-0.7764915661032349,-0.8658345939501221,0.0003395544681649,-0.0339618168992202,-0.0487871876213908,0.0003395544681649,-0.0339618168992202,-0.0487871876213908,0.0028940692572268,0.0011130789441528,0.0008904951565369,0.0008904951565369,walking,michal
1674934240746856700,-0.6540904511786767,-0.0418622264548479,-0.0418622264548479,0.6567641969007132,-0.6540904511786767,-0.7012726288340769,-0.7764915661032349,-0.0418622264548479,0.0003395544681649,-0.0339618168992202,-0.0418622264548479,0.0003395544681649,-0.0339618168992202,0.0014766658761547,0.0006540527984087,0.0004113065388729,0.0004113065388729,walking,michal
1674934240756856700,-0.6179227086887508,-0.0705434586066565,-0.0705434586066565,0.6259243029453488,-0.6179227086887508,-0.6540904511786767,-0.7012726288340769,-0.0705434586066565,-0.0418622264548479,0.0003395544681649,-0.0705434586066565,-0.0418622264548479,0.0003395544681649,0.0004203056712712,0.0004148316727618,2.736999254700554e-06,2.736999254700554e-06,walking,michal
1674934240766856700,-0.5891188314232891,-0.0728831163827856,-0.0728831163827856,0.5980676340054485,-0.5891188314232891,-0.6179227086887508,-0.6540904511786767,-0.0728831163827856,-0.0705434586066565,-0.0418622264548479,-0.0728831163827856,-0.0705434586066565,-0.0418622264548479,0.0001282209557388,8.66230819956695e-06,5.977932376966391e-05,5.977932376966391e-05,walking,michal
1674934240776856700,-0.5932811164206354,-0.0619488286812785,-0.0619488286812785,0.5997147637429651,-0.5932811164206354,-0.5891188314232891,-0.6179227086887508,-0.0619488286812785,-0.0728831163827856,-0.0705434586066565,-0.0619488286812785,-0.0728831163827856,-0.0705434586066565,0.0026103496749833,0.0025763617359251,1.699396952911193e-05,1.699396952911193e-05,walking,michal
1674934240786856700,-0.6650635897121732,-0.0677787462671646,-0.0677787462671646,0.6719356332655229,-0.6650635897121732,-0.5932811164206354,-0.5891188314232891,-0.0677787462671646,-0.0619488286812785,-0.0728831163827856,-0.0677787462671646,-0.0619488286812785,-0.0728831163827856,0.0037023597607713,0.0035679787583676,6.719050120184183e-05,6.719050120184183e-05,walking,michal
1674934240796856700,-0.7495381865844601,-0.0793710282859771,-0.0793710282859771,0.757896439766455,-0.7495381865844601,-0.6650635897121732,-0.5932811164206354,-0.0793710282859771,-0.0677787462671646,-0.0619488286812785,-0.0793710282859771,-0.0677787462671646,-0.0619488286812785,0.0036056125449044,0.0035995572216486,3.027661627916041e-06,3.027661627916041e-06,walking,michal
1674934240806856700,-0.834385781973471,-0.0769102716430252,-0.0769102716430252,0.841445193062441,-0.834385781973471,-0.7495381865844601,-0.6650635897121732,-0.0769102716430252,-0.0793710282859771,-0.0677787462671646,-0.0769102716430252,-0.0793710282859771,-0.0677787462671646,0.0040110482222934,0.0035688166075536,0.0002211158073699,0.0002211158073699,walking,michal
1674934240816856700,-0.918870296620282,-0.0558809679279755,-0.0558809679279755,0.9222624285766932,-0.918870296620282,-0.834385781973471,-0.7495381865844601,-0.0558809679279755,-0.0769102716430252,-0.0793710282859771,-0.0558809679279755,-0.0769102716430252,-0.0793710282859771,0.0039799475845259,0.0039321985055771,2.387453947438205e-05,2.387453947438205e-05,walking,michal
1674934240826856700,-1.0075517321699752,-0.0489708970926828,-0.0489708970926828,1.0099291017308305,-1.0075517321699752,-0.918870296620282,-0.834385781973471,-0.0489708970926828,-0.0558809679279755,-0.0769102716430252,-0.0489708970926828,-0.0558809679279755,-0.0769102716430252,0.0026003998712239,0.002422953920775,8.872297522443497e-05,8.872297522443497e-05,walking,michal
1674934240836856700,-1.077164287370529,-0.035650013096158,-0.035650013096158,1.0783435208012204,-1.077164287370529,-1.0075517321699752,-0.918870296620282,-0.035650013096158,-0.0489708970926828,-0.0558809679279755,-0.035650013096158,-0.0489708970926828,-0.0558809679279755,0.0017611776115683,0.0011997185450542,0.000280729533257,0.000280729533257,walking,michal
1674934240846856700,-1.126148336714254,-0.011954885611502,-0.011954885611502,1.1262752393905535,-1.126148336714254,-1.077164287370529,-1.0075517321699752,-0.011954885611502,-0.035650013096158,-0.0489708970926828,-0.011954885611502,-0.035650013096158,-0.0489708970926828,0.0007817791983172,0.0001545960733684,0.0003135915624743,0.0003135915624743,walking,michal
1674934240856856700,-1.1437321971190948,0.0130887388256431,0.0130887388256431,1.1438819733237182,-1.1437321971190948,-1.126148336714254,-1.077164287370529,0.0130887388256431,-0.011954885611502,-0.035650013096158,0.0130887388256431,-0.011954885611502,-0.035650013096158,0.0009420948692726,0.0002675648881049,0.0003372649905838,0.0003372649905838,walking,michal
1674934240866856700,-1.1205993249193462,0.0390604538473306,0.0390604538473306,1.1219600193942805,-1.1205993249193462,-1.1437321971190948,-1.126148336714254,0.0390604538473306,0.0130887388256431,-0.011954885611502,0.0390604538473306,0.0130887388256431,-0.011954885611502,0.0029584379226031,0.0025306724708277,0.0002138827258876,0.0002138827258876,walking,michal
1674934240876856700,-1.0494561949512633,0.0597429452778945,0.0597429452778945,1.0528517199219172,-1.0494561949512633,-1.1205993249193462,-1.1437321971190948,0.0597429452778945,0.0390604538473306,0.0130887388256431,0.0597429452778945,0.0390604538473306,0.0130887388256431,0.0047886758729782,0.0045581903575831,0.0001152427576975,0.0001152427576975,walking,michal
1674934240886856700,-0.9539764551361264,0.0749246946960323,0.0749246946960323,0.959842954188172,-0.9539764551361264,-1.0494561949512633,-1.1205993249193462,0.0749246946960323,0.0597429452778945,0.0390604538473306,0.0749246946960323,0.0597429452778945,0.0390604538473306,0.0045642061078514,0.0044949314215996,3.4637343125898e-05,3.4637343125898e-05,walking,michal
1674934240896856700,-0.8591615678915631,0.0832478363055327,0.0832478363055327,0.8671902929813009,-0.8591615678915631,-0.9539764551361264,-1.0494561949512633,0.0832478363055327,0.0749246946960323,0.0597429452778945,0.0832478363055327,0.0749246946960323,0.0597429452778945,0.0034778300363369,0.0034660359800022,5.897028167332556e-06,5.897028167332556e-06,walking,michal
