,time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2
0,1683470544244839200,31.012695752652547,-200.03760362411754,-378.81018063470685,429.5043458616285,31.012695752652547,,,31.012695752652547,,,-200.03760362411754,,
1,1683470544254839200,31.003651735655126,-200.19010609812116,-379.08492820502823,429.817039905044,31.003651735655126,31.012695752652547,,31.003651735655126,31.012695752652547,,-200.19010609812116,-200.03760362411754,
2,1683470544264839200,30.76497270738945,-201.18145308553716,-378.9744059842918,430.1651554954695,30.76497270738945,31.003651735655126,31.012695752652547,30.76497270738945,31.003651735655126,31.012695752652547,-201.18145308553716,-200.19010609812116,-200.03760362411754
3,1683470544274839200,30.193099678241424,-201.65265096257647,-378.84300193266074,430.229514354565,30.193099678241424,30.76497270738945,31.003651735655126,30.193099678241424,30.76497270738945,31.003651735655126,-201.65265096257647,-201.18145308553716,-200.19010609812116
4,1683470544284839200,29.410286702152636,-202.5778523256875,-378.65600336817016,430.44525796382817,29.410286702152636,30.193099678241424,30.76497270738945,29.410286702152636,30.193099678241424,30.76497270738945,-202.5778523256875,-201.65265096257647,-201.18145308553716
5,1683470544294839200,29.00337442517353,-203.22874168166175,-378.7405858396693,430.79873321045676,29.00337442517353,29.410286702152636,30.193099678241424,29.00337442517353,29.410286702152636,30.193099678241424,-203.22874168166175,-202.5778523256875,-201.65265096257647
6,1683470544304839200,28.744026918286885,-204.14002175736778,-378.92106881548006,431.37054136651886,28.744026918286885,29.00337442517353,29.410286702152636,28.744026918286885,29.00337442517353,29.410286702152636,-204.14002175736778,-203.22874168166175,-202.5778523256875
7,1683470544314839200,28.29362417889955,-205.28557320206127,-378.47142116491233,431.48964341298404,28.29362417889955,28.744026918286885,29.00337442517353,28.29362417889955,28.744026918286885,29.00337442517353,-205.28557320206127,-204.14002175736778,-203.22874168166175
8,1683470544324839200,28.141077483165137,-206.31286681786997,-378.3856894292722,431.894256990513,28.141077483165137,28.29362417889955,28.744026918286885,28.141077483165137,28.29362417889955,28.744026918286885,-206.31286681786997,-205.28557320206127,-204.14002175736778
9,1683470544334839200,27.918712452699307,-206.5737351467338,-377.9342591635744,431.60915978117197,27.918712452699307,28.141077483165137,28.29362417889955,27.918712452699307,28.141077483165137,28.29362417889955,-206.5737351467338,-206.31286681786997,-205.28557320206127
10,1683470544344839200,28.75040998465537,-207.8221722577883,-378.0961723390531,432.4041592002493,28.75040998465537,27.918712452699307,28.141077483165137,28.75040998465537,27.918712452699307,28.141077483165137,-207.8221722577883,-206.5737351467338,-206.31286681786997
11,1683470544354839200,29.37578101884009,-208.59574806784158,-377.3455702622883,432.1629345733167,29.37578101884009,28.75040998465537,27.918712452699307,29.37578101884009,28.75040998465537,27.918712452699307,-208.59574806784158,-207.8221722577883,-206.5737351467338
12,1683470544364839200,29.107403249853856,-208.98675090624252,-377.7122452146463,432.6537220033899,29.107403249853856,29.37578101884009,28.75040998465537,29.107403249853856,29.37578101884009,28.75040998465537,-208.98675090624252,-208.59574806784158,-207.8221722577883
