name,activity,raw_p0,raw_r0,raw_p1,raw_r1,mod1_p0,mod1_r0,mod1_p1,mod1_r1,mod2_p0,mod2_r0,mod2_p1,mod2_r1
InterpolationAccelerometerKubaUpstairs2Apple.csv,downstairs,0.3076923076923077,0.9914529914529915,0.9230769230769231,0.8111888111888111,1.0,0.9930555555555556,0.9230769230769231,1.0,0.9285714285714286,1.0,1.0,0.993006993006993
InterpolationAccelerometerKubaUpstairs2Apple.csv,downstairs,0.22580645161290322,1.0,1.0,0.6307692307692307,0.9333333333333333,1.0,1.0,0.9923076923076923,0.8235294117647058,1.0,1.0,0.9769230769230769
InterpolationAccelerometerKubaUpstairs2Apple.csv,squats,0.10071942446043165,0.9913793103448276,0.9333333333333333,0.4791666666666667,1.0,0.9917355371900827,0.8666666666666667,1.0,0.9333333333333333,0.9958333333333333,0.9333333333333333,0.9958333333333333
InterpolationAccelerometerKubaUpstairs2Apple.csv,sitting,0.039627039627039624,0.9918032786885246,0.8947368421052632,0.37003058103975534,1.0,0.990909090909091,0.6842105263157895,1.0,1.0,0.993920972644377,0.7894736842105263,1.0
InterpolationAccelerometerKubaUpstairs2Apple.csv,squats,0.06862745098039216,0.9440993788819876,0.4375,0.6153846153846154,0.7777777777777778,0.9645669291338582,0.4375,0.9919028340080972,0.7272727272727273,0.9682539682539683,0.5,0.9878542510121457
InterpolationAccelerometerKubaUpstairs2Apple.csv,squats,0.145985401459854,0.9921875,0.9523809523809523,0.5204918032786885,1.0,0.991869918699187,0.9047619047619048,1.0,0.9523809523809523,0.9959016393442623,0.9523809523809523,0.9959016393442623
InterpolationAccelerometerKubaUpstairs2Apple.csv,standing,0.08376963350785341,0.9864864864864865,0.9411764705882353,0.29435483870967744,0.75,0.9918367346938776,0.8823529411764706,0.9798387096774194,0.7272727272727273,0.9958847736625515,0.9411764705882353,0.9758064516129032
InterpolationAccelerometerKubaUpstairs2Apple.csv,standing,0.12030075187969924,0.9534883720930233,0.7272727272727273,0.5125,1.0,0.97165991902834,0.6818181818181818,1.0,1.0,0.9795918367346939,0.7727272727272727,1.0
InterpolationAccelerometerKubaUpstairs2Apple.csv,walking,0.030927835051546393,0.9985294117647059,0.9375,0.5909486510008704,1.0,0.9991304347826087,0.9375,1.0,0.9411764705882353,1.0,1.0,0.999129677980853
InterpolationAccelerometerKubaUpstairs2Apple.csv,downstairs,0.3125,0.9333333333333333,0.8823529411764706,0.45901639344262296,1.0,0.8905109489051095,0.5588235294117647,1.0,0.9523809523809523,0.8962962962962963,0.5882352941176471,0.9918032786885246
InterpolationAccelerometerKubaUpstairs2Apple.csv,sitting,0.04318181818181818,0.9875776397515528,0.9047619047619048,0.27413793103448275,0.9444444444444444,0.9931389365351629,0.8095238095238095,0.9982758620689656,0.9,0.9948364888123924,0.8571428571428571,0.996551724137931
InterpolationAccelerometerKubaUpstairs2Apple.csv,upstairs,0.1566265060240964,1.0,1.0,0.44881889763779526,0.8125,1.0,1.0,0.9763779527559056,0.7222222222222222,1.0,1.0,0.9606299212598425
InterpolationAccelerometerKubaUpstairs2Apple.csv,walking,0.03753351206434316,1.0,1.0,0.46656760772659733,0.8235294117647058,1.0,1.0,0.9955423476968797,0.7368421052631579,1.0,1.0,0.9925705794947994
InterpolationAccelerometerKubaUpstairs2Apple.csv,standing,0.08284023668639054,0.9886363636363636,0.9333333333333333,0.359504132231405,0.9333333333333333,0.9958677685950413,0.9333333333333333,0.9958677685950413,0.8823529411764706,1.0,1.0,0.9917355371900827
InterpolationAccelerometerKubaUpstairs2Apple.csv,upstairs,0.14285714285714285,0.9873417721518988,0.9285714285714286,0.5,1.0,0.9936305732484076,0.9285714285714286,1.0,0.9333333333333333,1.0,1.0,0.9935897435897436
InterpolationAccelerometerKubaUpstairs2Apple.csv,lying,0.08264462809917356,0.9659574468085106,0.7142857142857143,0.5055679287305123,0.9411764705882353,0.9739130434782609,0.5714285714285714,0.9977728285077951,0.8947368421052632,0.9759825327510917,0.6071428571428571,0.9955456570155902
InterpolationAccelerometerKubaUpstairs2Apple.csv,lying,0.11864406779661017,0.963855421686747,0.8235294117647058,0.43478260869565216,1.0,0.983957219251337,0.8235294117647058,1.0,1.0,0.9945945945945946,0.9411764705882353,1.0
InterpolationAccelerometerKubaUpstairs2Apple.csv,lying,0.08415841584158416,0.9851851851851852,0.8947368421052632,0.41823899371069184,1.0,0.9875776397515528,0.7894736842105263,1.0,0.9411764705882353,0.990625,0.8421052631578947,0.9968553459119497
