name,activity,raw_p0,raw_r0,raw_p1,raw_r1,mod1_p0,mod1_r0,mod1_p1,mod1_r1,mod2_p0,mod2_r0,mod2_p1,mod2_r1
InterpolationAccelerometerKubaDownstairsApple.csv,downstairs,0.08783783783783784,1.0,1.0,0.055944055944055944,0.4482758620689655,1.0,1.0,0.8881118881118881,0.41935483870967744,1.0,1.0,0.8741258741258742
InterpolationAccelerometerKubaDownstairsApple.csv,downstairs,0.1076923076923077,1.0,1.0,0.1076923076923077,0.5833333333333334,1.0,1.0,0.9230769230769231,0.5384615384615384,1.0,1.0,0.9076923076923077
InterpolationAccelerometerKubaDownstairsApple.csv,squats,0.06756756756756757,1.0,1.0,0.1375,0.7142857142857143,1.0,1.0,0.975,0.6521739130434783,1.0,1.0,0.9666666666666667
InterpolationAccelerometerKubaDownstairsApple.csv,sitting,0.031932773109243695,1.0,1.0,0.11926605504587157,0.9047619047619048,1.0,1.0,0.9969418960244648,0.8260869565217391,1.0,1.0,0.9938837920489296
InterpolationAccelerometerKubaDownstairsApple.csv,squats,0.09146341463414634,0.98989898989899,0.9375,0.3967611336032389,0.7647058823529411,0.9878048780487805,0.8125,0.9838056680161943,0.7368421052631579,0.9918032786885246,0.875,0.979757085020243
InterpolationAccelerometerKubaDownstairsApple.csv,squats,0.12574850299401197,1.0,1.0,0.4016393442622951,1.0,1.0,1.0,1.0,0.9130434782608695,1.0,1.0,0.9918032786885246
InterpolationAccelerometerKubaDownstairsApple.csv,standing,0.06439393939393939,1.0,1.0,0.004032258064516129,0.06439393939393939,1.0,1.0,0.004032258064516129,0.06415094339622641,0.0,1.0,0.0
InterpolationAccelerometerKubaDownstairsApple.csv,standing,0.08108108108108109,0.6666666666666666,0.9545454545454546,0.008333333333333333,0.76,0.9873417721518988,0.8636363636363636,0.975,0.7407407407407407,0.9914893617021276,0.9090909090909091,0.9708333333333333
InterpolationAccelerometerKubaDownstairsApple.csv,walking,0.01893491124260355,1.0,1.0,0.278503046127067,0.64,1.0,1.0,0.9921671018276762,0.5925925925925926,1.0,1.0,0.9904264577893821
InterpolationAccelerometerKubaDownstairsApple.csv,downstairs,0.24615384615384617,0.9230769230769231,0.9411764705882353,0.19672131147540983,0.8620689655172413,0.9291338582677166,0.7352941176470589,0.9672131147540983,0.8387096774193549,0.936,0.7647058823529411,0.9590163934426229
InterpolationAccelerometerKubaDownstairsApple.csv,sitting,0.0353356890459364,0.9714285714285714,0.9523809523809523,0.05862068965517241,1.0,0.9931506849315068,0.8095238095238095,1.0,0.9473684210526315,0.9948453608247423,0.8571428571428571,0.9982758620689656
InterpolationAccelerometerKubaDownstairsApple.csv,upstairs,0.11504424778761062,1.0,1.0,0.2125984251968504,0.8125,1.0,1.0,0.9763779527559056,0.7222222222222222,1.0,1.0,0.9606299212598425
InterpolationAccelerometerKubaDownstairsApple.csv,walking,0.02491103202846975,1.0,1.0,0.18573551263001487,0.5185185185185185,1.0,1.0,0.9806835066864784,0.4827586206896552,1.0,1.0,0.9777117384843982
InterpolationAccelerometerKubaDownstairsApple.csv,standing,0.06072874493927125,1.0,1.0,0.04132231404958678,0.22058823529411764,1.0,1.0,0.78099173553719,0.21428571428571427,1.0,1.0,0.7727272727272727
InterpolationAccelerometerKubaDownstairsApple.csv,upstairs,0.09923664122137404,0.9743589743589743,0.9285714285714286,0.24358974358974358,0.8125,0.9935064935064936,0.9285714285714286,0.9807692307692307,0.7777777777777778,1.0,1.0,0.9743589743589743
InterpolationAccelerometerKubaDownstairsApple.csv,lying,0.05531914893617021,0.7142857142857143,0.9285714285714286,0.011135857461024499,0.13297872340425532,0.9896193771626297,0.8928571428571429,0.6369710467706013,0.1368421052631579,0.9930313588850174,0.9285714285714286,0.6347438752783965
InterpolationAccelerometerKubaDownstairsApple.csv,lying,0.0963855421686747,0.9714285714285714,0.9411764705882353,0.18478260869565216,0.8888888888888888,0.994535519125683,0.9411764705882353,0.9891304347826086,0.85,1.0,1.0,0.9836956521739131
InterpolationAccelerometerKubaDownstairsApple.csv,lying,0.07086614173228346,0.9879518072289156,0.9473684210526315,0.2578616352201258,1.0,0.9875776397515528,0.7894736842105263,1.0,0.9411764705882353,0.990625,0.8421052631578947,0.9968553459119497
