name,activity,raw_p0,raw_r0,raw_p1,raw_r1,mod1_p0,mod1_r0,mod1_p1,mod1_r1,mod2_p0,mod2_r0,mod2_p1,mod2_r1
InterpolationAccelerometerKubaDownstairs3Apple.csv,downstairs,0.14457831325301204,0.9863013698630136,0.9230769230769231,0.5034965034965035,1.0,0.9930555555555556,0.9230769230769231,1.0,0.9285714285714286,1.0,1.0,0.993006993006993
InterpolationAccelerometerKubaDownstairs2Apple.csv,downstairs,0.34285714285714286,0.981651376146789,0.8571428571428571,0.823076923076923,1.0,0.9848484848484849,0.8571428571428571,1.0,0.9285714285714286,0.9923076923076923,0.9285714285714286,0.9923076923076923
InterpolationAccelerometerKubaSquatsApple.csv,squats,0.14563106796116504,1.0,1.0,0.6333333333333333,0.8823529411764706,1.0,1.0,0.9916666666666667,0.7894736842105263,1.0,1.0,0.9833333333333333
InterpolationAccelerometerKubaSittingApple.csv,sitting,0.07468879668049792,0.9976851851851852,0.9473684210526315,0.6590214067278287,0.9444444444444444,0.9969465648854962,0.8947368421052632,0.9984709480122325,0.9,0.998468606431853,0.9473684210526315,0.9969418960244648
InterpolationAccelerometerKubaSquats2Apple.csv,squats,0.06896551724137931,1.0,1.0,0.12550607287449392,0.5,1.0,1.0,0.9352226720647774,0.47058823529411764,1.0,1.0,0.9271255060728745
InterpolationAccelerometerKubaSquats3Apple.csv,squats,0.168141592920354,0.9868421052631579,0.9047619047619048,0.6147540983606558,1.0,0.9721115537848606,0.6666666666666666,1.0,1.0,0.9799196787148594,0.7619047619047619,1.0
InterpolationAccelerometerKubaStanding2Apple.csv,standing,0.17204301075268819,0.9941860465116279,0.9411764705882353,0.6895161290322581,1.0,0.9959839357429718,0.9411764705882353,1.0,0.9444444444444444,1.0,1.0,0.9959677419354839
InterpolationAccelerometerKubaStanding3Apple.csv,standing,0.1391304347826087,0.9591836734693877,0.7272727272727273,0.5875,1.0,0.967741935483871,0.6363636363636364,1.0,1.0,0.975609756097561,0.7272727272727273,1.0
InterpolationAccelerometerKubaWalking2Apple.csv,walking,0.04216867469879518,0.9975990396158463,0.875,0.7232375979112271,1.0,0.9973958333333334,0.8125,1.0,0.9333333333333333,0.9982608695652174,0.875,0.999129677980853
InterpolationAccelerometerKubaDownstairsApple.csv,downstairs,0.2803738317757009,0.9183673469387755,0.8823529411764706,0.36885245901639346,1.0,0.9242424242424242,0.7058823529411765,1.0,1.0,0.9384615384615385,0.7647058823529411,1.0
InterpolationAccelerometerKubaSitting2Apple.csv,sitting,0.05016722408026756,0.9801324503311258,0.7142857142857143,0.5103448275862069,1.0,0.9880749574105622,0.6666666666666666,1.0,1.0,0.9914529914529915,0.7619047619047619,1.0
InterpolationAccelerometerKubaUpstairsApple.csv,upstairs,0.22641509433962265,0.9885057471264368,0.9230769230769231,0.6771653543307087,1.0,0.9921875,0.9230769230769231,1.0,0.9285714285714286,1.0,1.0,0.9921259842519685
InterpolationAccelerometerKubaWalkingApple.csv,walking,0.05485232067510549,0.9977777777777778,0.9285714285714286,0.6671619613670133,0.9285714285714286,0.9985141158989599,0.9285714285714286,0.9985141158989599,0.875,1.0,1.0,0.9970282317979198
InterpolationAccelerometerKubaStandingApple.csv,standing,0.175,0.9943502824858758,0.9333333333333333,0.7272727272727273,1.0,0.9958847736625515,0.9333333333333333,1.0,0.9375,1.0,1.0,0.9958677685950413
InterpolationAccelerometerKubaUpstairs2Apple.csv,upstairs,0.1590909090909091,1.0,1.0,0.5256410256410257,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.9871794871794872
InterpolationAccelerometerKubaLying3Apple.csv,lying,0.1276595744680851,0.9702380952380952,0.6428571428571429,0.7260579064587973,1.0,0.9697624190064795,0.5,1.0,1.0,0.9739696312364425,0.5714285714285714,1.0
InterpolationAccelerometerKubaLying2Apple.csv,lying,0.2711864406779661,0.9929577464788732,0.9411764705882353,0.7663043478260869,1.0,0.9945945945945946,0.9411764705882353,1.0,0.9444444444444444,1.0,1.0,0.9945652173913043
InterpolationAccelerometerKubaLyingApple.csv,lying,0.11347517730496454,0.9846938775510204,0.8421052631578947,0.6069182389937107,1.0,0.9875776397515528,0.7894736842105263,1.0,1.0,0.99375,0.8947368421052632,1.0
InterpolationAccelerometerKasperDownstairsApple.csv,downstairs,0.08403361344537816,1.0,1.0,0.3588235294117647,0.6666666666666666,1.0,1.0,0.9705882352941176,0.5882352941176471,1.0,1.0,0.9588235294117647
InterpolationAccelerometerKasperSittingApple.csv,sitting,0.2116788321167883,0.9029411764705882,0.46774193548387094,0.7397590361445783,1.0,0.8982683982683982,0.24193548387096775,1.0,1.0,0.9021739130434783,0.27419354838709675,1.0
InterpolationAccelerometerKasperStandingApple.csv,standing,0.07272727272727272,0.9704142011834319,0.7619047619047619,0.44565217391304346,1.0,0.983957219251337,0.7142857142857143,1.0,1.0,0.989247311827957,0.8095238095238095,1.0
InterpolationAccelerometerKasperUpstairsApple.csv,upstairs,0.18269230769230768,1.0,1.0,0.5380434782608695,0.95,1.0,1.0,0.9945652173913043,0.8636363636363636,1.0,1.0,0.9836956521739131
InterpolationAccelerometerKasperWalkingApple.csv,walking,0.09523809523809523,0.9968652037617555,0.9230769230769231,0.7361111111111112,1.0,0.9976905311778291,0.9230769230769231,1.0,0.9285714285714286,1.0,1.0,0.9976851851851852
