time,seconds_elapsed,z,y,x
1671570469927112700,0.11311279296875,-356.3251953125,-166.84242248535156,-14.877853393554688
1671570469937129700,0.123129638671875,-356.199462890625,-167.29112243652344,-14.733062744140625
1671570469947154000,0.13315380859375,-356.04180908203125,-167.20045471191406,-14.76800537109375
1671570469957181700,0.143181640625,-355.9989013671875,-167.139404296875,-14.641265869140625
1671570469967199000,0.153198974609375,-356.1038513183594,-167.1134490966797,-14.228271484375
1671570469977220900,0.163220947265625,-356.00042724609375,-167.20254516601562,-14.41668701171875
1671570469987245800,0.173245849609375,-356.0096130371094,-166.75340270996094,-14.185150146484375
1671570469997273600,0.183273681640625,-355.849365234375,-167.43145751953125,-14.247650146484375
1671570470007293700,0.193293701171875,-355.9576416015625,-167.36524963378906,-14.174346923828125
1671570470017315600,0.203315673828125,-355.7362976074219,-167.0890350341797,-14.252639770507812
1671570470027342800,0.2133427734375,-355.98431396484375,-167.04908752441406,-14.2684326171875
1671570470037359600,0.223359619140625,-355.50140380859375,-167.2357635498047,-14.233489990234375
1671570470047381800,0.2333818359375,-355.8197021484375,-167.05929565429688,-14.091110229492188
1671570470057406700,0.24340673828125,-355.5877380371094,-167.1601104736328,-13.8232421875
1671570470067428900,0.253428955078125,-355.5181884765625,-167.25645446777344,-14.018829345703125
1671570470077454800,0.263454833984375,-356.1678466796875,-167.01876831054688,-13.834808349609375
1671570470087471600,0.2734716796875,-356.2800598144531,-167.23464965820312,-13.940719604492188
1671570470097493800,0.28349365234375,-356.1133728027344,-167.1235809326172,-13.786575317382812
1671570470107516700,0.2935166015625,-356.2543640136719,-167.11180114746094,-13.94775390625
1671570470117538800,0.303538818359375,-356.560302734375,-167.21107482910156,-13.651412963867188
1671570470127565600,0.313565673828125,-355.95697021484375,-167.19607543945312,-13.769760131835938
1671570470137584600,0.323584716796875,-356.04364013671875,-166.95602416992188,-13.875411987304688
1671570470147607800,0.33360791015625,-355.40087890625,-166.6708984375,-13.860824584960938
1671570470157631700,0.3436318359375,-355.5860900878906,-166.80859375,-13.664352416992188
1671570470167655700,0.35365576171875,-356.3851013183594,-166.95223999023438,-13.651092529296875
1671570470177680000,0.363679931640625,-356.08172607421875,-167.3037567138672,-13.311355590820312
1671570470187704800,0.373704833984375,-356.12847900390625,-166.7396697998047,-13.343017578125
1671570470197728500,0.383728515625,-356.3872985839844,-166.9619598388672,-13.535598754882812
1671570470207751700,0.393751708984375,-356.0284729003906,-167.02230834960938,-13.250198364257812
1671570470217775900,0.40377587890625,-355.942138671875,-167.14564514160156,-13.358856201171875
1671570470227798800,0.413798828125,-355.95916748046875,-167.28875732421875,-13.354034423828125
1671570470237820700,0.423820556640625,-355.5177917480469,-166.9727020263672,-13.386520385742188
1671570470247843800,0.43384375,-355.6710205078125,-167.243408203125,-13.475372314453125
1671570470257865700,0.44386572265625,-355.6844482421875,-167.39791870117188,-13.272491455078125
1671570470267889000,0.453888916015625,-355.35479736328125,-167.3396759033203,-13.414474487304688
1671570470277910800,0.463910888671875,-355.29376220703125,-167.35260009765625,-13.26953125
1671570470287934000,0.473933837890625,-355.9075927734375,-166.91845703125,-13.380889892578125
1671570470297957600,0.48395751953125,-355.86163330078125,-167.16281127929688,-13.190841674804688
1671570470307978800,0.493978759765625,-355.9593505859375,-167.05113220214844,-13.389007568359375
1671570470317999900,0.503999755859375,-356.3534240722656,-167.22784423828125,-13.3111572265625
1671570470328021800,0.514021728515625,-356.01983642578125,-167.2822723388672,-13.359603881835938
1671570470338049500,0.524049560546875,-356.03448486328125,-166.8650665283203,-13.0728759765625
1671570470348072000,0.534072021484375,-355.74853515625,-166.63479614257812,-13.346969604492188
1671570470358097000,0.544096923828125,-356.1989440917969,-167.25140380859375,-13.377883911132812
1671570470368114700,0.55411474609375,-356.54241943359375,-166.4971466064453,-13.277175903320312
1671570470378139600,0.5641396484375,-356.6109619140625,-166.2838592529297,-13.232955932617188
1671570470388164900,0.574164794921875,-356.976806640625,-166.59800720214844,-13.139190673828125
1671570470398192600,0.584192626953125,-356.51544189453125,-166.5569305419922,-12.77008056640625
1671570470408210000,0.5942099609375,-356.86212158203125,-166.6048583984375,-13.07623291015625
1671570470418232600,0.604232666015625,-356.93634033203125,-166.61834716796875,-12.917510986328125
1671570470428256800,0.6142568359375,-357.0167236328125,-166.5334930419922,-13.097702026367188
1671570470438282800,0.62428271484375,-357.244873046875,-166.4542694091797,-13.192764282226562
1671570470448306000,0.634305908203125,-357.3404541015625,-166.29144287109375,-13.080825805664062
1671570470458322000,0.644322021484375,-357.08056640625,-166.61834716796875,-13.143844604492188
1671570470468343800,0.65434375,-357.1465759277344,-166.5277557373047,-13.135498046875
1671570470478364700,0.66436474609375,-357.2291564941406,-166.743896484375,-13.370819091796875
1671570470488385800,0.6743857421875,-356.83819580078125,-166.69403076171875,-13.00201416015625
1671570470498411800,0.684411865234375,-356.57891845703125,-166.64642333984375,-13.272186279296875
1671570470508428800,0.6944287109375,-356.61474609375,-166.55007934570312,-13.336013793945312
1671570470518449700,0.70444970703125,-356.46502685546875,-166.80465698242188,-13.074737548828125
1671570470528476700,0.7144765625,-356.7624816894531,-166.71739196777344,-13.181411743164062
1671570470538498600,0.72449853515625,-356.9865417480469,-166.48114013671875,-13.009780883789062
1671570470548514800,0.734514892578125,-357.46038818359375,-166.78414916992188,-13.291671752929688
1671570470558540800,0.744540771484375,-357.3680725097656,-166.79270935058594,-13.619552612304688
1671570470568562700,0.754562744140625,-356.9908752441406,-166.81109619140625,-13.244918823242188
1671570470578579700,0.764579833984375,-357.2530517578125,-166.41552734375,-13.257797241210938
1671570470588603000,0.774602783203125,-357.35882568359375,-166.328125,-13.199859619140625
1671570470598629600,0.784629638671875,-357.48004150390625,-166.6985626220703,-13.008560180664062
1671570470608646700,0.794646728515625,-356.973876953125,-166.4652099609375,-13.378952026367188
