time,seconds_elapsed,z,y,x
1672829347926852400,0.022852294921875,-317.43609619140625,-34.43345642089844,-50.098052978515625
1672829347936884500,0.032884521484375,-315.942138671875,-34.41314697265625,-52.2244873046875
1672829347946906600,0.04290673828125,-314.2825622558594,-34.45619201660156,-54.50201416015625
1672829347956932600,0.0529326171875,-312.62274169921875,-34.592742919921875,-56.39671325683594
1672829347966962700,0.062962646484375,-311.45037841796875,-35.1348876953125,-58.75608825683594
1672829347976981500,0.0729814453125,-310.639892578125,-35.26335144042969,-60.84910583496094
1672829347987008500,0.083008544921875,-309.31512451171875,-35.95408630371094,-62.69850158691406
1672829347997038600,0.09303857421875,-307.5872802734375,-36.705047607421875,-63.79835510253906
1672829348007060500,0.103060546875,-306.889892578125,-38.35694885253906,-65.15812683105469
1672829348017086500,0.11308642578125,-305.4682312011719,-39.71803283691406,-66.28663635253906
1672829348027112400,0.123112548828125,-304.96759033203125,-41.3138427734375,-66.90048217773438
1672829348037143600,0.1331435546875,-304.39215087890625,-42.662689208984375,-68.58848571777344
1672829348047163400,0.143163330078125,-303.5007019042969,-43.933685302734375,-69.80364990234375
1672829348057189400,0.153189453125,-301.9202880859375,-45.23112487792969,-70.59312438964844
1672829348067217700,0.1632177734375,-302.4288024902344,-46.63658142089844,-71.14628601074219
1672829348077244400,0.173244384765625,-301.98590087890625,-47.95562744140625,-71.48640441894531
1672829348087272400,0.1832724609375,-302.2156677246094,-48.82481384277344,-72.32095336914062
1672829348097298700,0.193298583984375,-301.6808166503906,-49.35643005371094,-72.60134887695312
1672829348107326500,0.203326416015625,-302.446044921875,-50.1590576171875,-72.98951721191406
1672829348117353500,0.213353515625,-302.46759033203125,-50.38874816894531,-73.57498168945312
1672829348127379500,0.22337939453125,-302.7821044921875,-50.570465087890625,-74.66505432128906
1672829348137405700,0.23340576171875,-303.20184326171875,-50.86808776855469,-75.13528442382812
1672829348147431700,0.243431640625,-304.357421875,-50.487701416015625,-76.02348327636719
1672829348157458400,0.25345849609375,-304.81060791015625,-50.260345458984375,-76.44207763671875
1672829348167485400,0.2634853515625,-306.16302490234375,-49.93304443359375,-77.52279663085938
1672829348177512400,0.273512451171875,-306.54022216796875,-49.16297912597656,-78.30934143066406
1672829348187539500,0.28353955078125,-307.481689453125,-49.19847106933594,-78.84721374511719
1672829348197571600,0.293571533203125,-308.8325500488281,-49.033599853515625,-79.69436645507812
1672829348207592400,0.303592529296875,-310.3538818359375,-49.02812194824219,-80.52177429199219
1672829348217621500,0.31362158203125,-310.861572265625,-48.92596435546875,-81.399169921875
1672829348227649500,0.3236494140625,-312.607177734375,-49.04522705078125,-82.29743957519531
1672829348237674500,0.333674560546875,-313.6593017578125,-49.45982360839844,-83.00898742675781
1672829348247699500,0.343699462890625,-315.3515319824219,-49.5704345703125,-83.38621520996094
1672829348257725400,0.353725341796875,-316.49285888671875,-49.89506530761719,-83.88232421875
1672829348267750400,0.36375048828125,-318.69219970703125,-50.807281494140625,-84.74095153808594
1672829348277778700,0.37377880859375,-319.18896484375,-51.39784240722656,-85.69291687011719
1672829348287803400,0.383803466796875,-320.39813232421875,-51.64741516113281,-86.83987426757812
1672829348297831400,0.39383154296875,-320.32891845703125,-51.77964782714844,-87.99166870117188
1672829348307858400,0.4038583984375,-320.44329833984375,-52.61399841308594,-89.48634338378906
1672829348317887500,0.413887451171875,-319.7096252441406,-52.2857666015625,-90.34567260742188
1672829348327915500,0.42391552734375,-319.9312744140625,-52.66151428222656,-91.17886352539062
1672829348337943600,0.433943603515625,-319.53143310546875,-52.398651123046875,-92.54753112792969
1672829348347969500,0.443969482421875,-319.7205810546875,-52.24383544921875,-93.03701782226562
1672829348357996500,0.45399658203125,-319.8778076171875,-52.19651794433594,-93.85720825195312
1672829348368026400,0.4640263671875,-319.4165344238281,-51.95977783203125,-94.89759826660156
1672829348378053400,0.474053466796875,-319.3663330078125,-51.95074462890625,-95.99755859375
1672829348388079400,0.484079345703125,-318.96234130859375,-51.67573547363281,-96.798828125
1672829348398107600,0.494107666015625,-318.6097412109375,-51.003204345703125,-98.11021423339844
1672829348408135400,0.504135498046875,-317.4042663574219,-50.65446472167969,-98.78099060058594
1672829348418161700,0.51416162109375,-316.43743896484375,-50.24859619140625,-100.04803466796875
1672829348428186400,0.524186279296875,-316.4287109375,-50.22615051269531,-101.41583251953125
1672829348438214700,0.534214599609375,-315.296142578125,-49.69354248046875,-102.58624267578125
1672829348448240600,0.54424072265625,-314.9817810058594,-49.58599853515625,-103.36376953125
1672829348458268400,0.554268310546875,-313.6554870605469,-49.217376708984375,-104.318359375
1672829348468294700,0.564294677734375,-313.45831298828125,-49.32679748535156,-105.32437133789062
1672829348478323500,0.574323486328125,-312.9634094238281,-49.49473571777344,-106.26377868652344
1672829348488351500,0.5843515625,-312.44427490234375,-49.52337646484375,-107.63845825195312
1672829348498378500,0.59437841796875,-311.99969482421875,-49.99629211425781,-109.14849853515625
1672829348508407600,0.604407470703125,-311.696533203125,-50.29093933105469,-110.00180053710938
1672829348518434600,0.6144345703125,-311.0684814453125,-50.42713928222656,-110.94691467285156
1672829348528461600,0.624461669921875,-310.7933654785156,-50.427642822265625,-111.42628479003906
1672829348538487600,0.634487548828125,-309.70465087890625,-50.293212890625,-111.87257385253906
1672829348548516600,0.6445166015625,-309.6048583984375,-50.87171936035156,-111.92433166503906
1672829348558543400,0.65454345703125,-308.80908203125,-51.13652038574219,-112.20834350585938
1672829348568570600,0.664570556640625,-308.7730712890625,-51.3092041015625,-113.23780822753906
