time,seconds_elapsed,z,y,x
1672829346036322000,0.134322021484375,-214.43399047851562,-24.726022720336914,14.203272819519043
1672829346046322200,0.144322265625,-215.07672119140625,-26.322832107543945,15.253931999206543
1672829346056322000,0.154322021484375,-216.02838134765625,-26.494848251342773,16.11766815185547
1672829346066322200,0.164322265625,-213.22877502441406,-27.442604064941406,16.010257720947266
1672829346076322000,0.174322021484375,-214.02391052246094,-25.874168395996094,16.678958892822266
1672829346086322200,0.184322265625,-212.64834594726562,-27.15650177001953,17.725900650024414
1672829346096322000,0.194322021484375,-211.68959045410156,-27.29559898376465,16.584375381469727
1672829346106322200,0.204322265625,-212.76168823242188,-25.702388763427734,15.816102981567383
1672829346116322000,0.214322021484375,-213.07667541503906,-27.603185653686523,16.15902328491211
1672829346126322200,0.224322265625,-210.1421356201172,-28.40777015686035,16.90899658203125
1672829346136322000,0.234322021484375,-209.9927215576172,-26.356203079223633,16.991748809814453
1672829346146322200,0.244322265625,-209.49844360351562,-27.601016998291016,15.88191032409668
1672829346156322000,0.254322021484375,-210.77450561523438,-27.466590881347656,17.30977439880371
1672829346166322200,0.264322265625,-207.03427124023438,-27.459632873535156,16.74588394165039
1672829346176322000,0.274322021484375,-207.48236083984375,-28.237060546875,16.050090789794922
1672829346186322200,0.284322265625,-207.77708435058594,-27.43450164794922,15.30759048461914
1672829346196322000,0.294322021484375,-206.71324157714844,-27.768531799316406,16.325363159179688
1672829346206322200,0.304322265625,-207.01612854003906,-28.553442001342773,16.060840606689453
1672829346216322000,0.314322021484375,-204.89016723632812,-27.79940414428711,18.053951263427734
1672829346226322200,0.324322265625,-207.33082580566406,-27.923612594604492,16.18471336364746
1672829346236322000,0.334322021484375,-206.64080810546875,-28.778057098388672,19.944334030151367
1672829346246322200,0.344322265625,-205.02549743652344,-27.626550674438477,17.18714141845703
1672829346256322000,0.354322021484375,-207.05645751953125,-28.5828857421875,17.784156799316406
1672829346266322200,0.364322265625,-205.079345703125,-30.354448318481445,19.70865821838379
1672829346276322000,0.374322021484375,-206.6109619140625,-28.439950942993164,18.642417907714844
1672829346286322200,0.384322265625,-207.08534240722656,-29.711042404174805,19.109649658203125
1672829346296322000,0.394322021484375,-205.50985717773438,-31.75165367126465,18.313678741455078
1672829346306322200,0.404322265625,-206.4403076171875,-30.010364532470703,18.11556625366211
1672829346316322000,0.414322021484375,-207.08035278320312,-28.284038543701172,18.779993057250977
1672829346326322200,0.424322265625,-205.0453643798828,-30.645933151245117,18.281991958618164
1672829346336322000,0.434322021484375,-206.008056640625,-30.03525733947754,19.552980422973633
1672829346346322200,0.444322265625,-206.1433868408203,-29.86240577697754,18.68617057800293
1672829346356322000,0.454322021484375,-207.67979431152344,-29.532926559448242,17.95429801940918
